,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,2648316039.342587,4822201578.65063,6118319310.694374
Tax Rate For Calcs,0.204599,0.174082,0.175136,0.200653
Normalized EBITDA,133358000000.0,60346000000.0,57035000000.0,77162000000.0
Total Unusual Items,18973000000.0,15213000000.0,27534000000.0,30492000000.0
Total Unusual Items Excluding Goodwill,18973000000.0,15213000000.0,27534000000.0,30492000000.0
Net Income From Continuing Operation Net Minority Interest,82110000000.0,38795000000.0,43891000000.0,56760000000.0
Reconciled Depreciation,28257000000.0,27890000000.0,30341000000.0,35284000000.0
Reconciled Cost Of Revenue,861135000000.0,694313000000.0,549012000000.0,579877000000.0
EBITDA,133358000000.0,75559000000.0,84569000000.0,107654000000.0
EBIT,105101000000.0,47669000000.0,54228000000.0,72370000000.0
Net Interest Income,-1870000000.0,481000000.0,-290000000.0,-373000000.0
Interest Expense,1870000000.0,697000000.0,1018000000.0,1342000000.0
Interest Income,1854000000.0,1747000000.0,728000000.0,969000000.0
Normalized Income,82110000000.0,26230316039.342587,21179201578.65063,32386319310.694374
Net Income From Continuing And Discontinued Operation,82110000000.0,38795000000.0,43891000000.0,56760000000.0
Total Expenses,1043193000000.0,822495000000.0,654529000000.0,691348000000.0
Rent Expense Supplemental,20379000000.0,17472000000.0,12982000000.0,10064000000.0
Diluted Average Shares,,302080060.0,302080060.0,302080060.0
Basic Average Shares,,302080060.0,302080060.0,302080060.0
Diluted EPS,,128.43,140.02,187.95
Basic EPS,,128.43,140.02,187.95
Diluted NI Availto Com Stockholders,82110000000.0,38795000000.0,43891000000.0,56760000000.0
Net Income Common Stockholders,82110000000.0,38795000000.0,43891000000.0,56760000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,82110000000.0,38795000000.0,43891000000.0,56760000000.0
Minority Interests,0.0,0.0,0.0,-16000000.0
Net Income Including Noncontrolling Interests,82110000000.0,38795000000.0,43891000000.0,56776000000.0
Net Income Continuous Operations,82110000000.0,38795000000.0,43891000000.0,56776000000.0
Tax Provision,21121000000.0,8177000000.0,9319000000.0,14252000000.0
Pretax Income,103231000000.0,46972000000.0,53210000000.0,71028000000.0
Other Non Operating Income Expenses,21407000000.0,437000000.0,405000000.0,407000000.0
Special Income Charges,-115000000.0,-458000000.0,-590000000.0,-424000000.0
Other Special Charges,115000000.0,458000000.0,590000000.0,424000000.0
Net Non Operating Interest Income Expense,-1870000000.0,481000000.0,-290000000.0,-373000000.0
Total Other Finance Cost,,569000000.0,,
Interest Expense Non Operating,1870000000.0,697000000.0,1018000000.0,1342000000.0
Interest Income Non Operating,1854000000.0,1747000000.0,728000000.0,969000000.0
Operating Income,81920000000.0,29193000000.0,23360000000.0,37859000000.0
Operating Expense,182058000000.0,128182000000.0,105517000000.0,111471000000.0
Other Operating Expenses,158055000000.0,63190000000.0,44552000000.0,46666000000.0
Depreciation And Amortization In Income Statement,28257000000.0,27890000000.0,30341000000.0,35284000000.0
Amortization,2080000000.0,172000000.0,1424000000.0,1449000000.0
Depreciation Income Statement,28257000000.0,27718000000.0,28917000000.0,33835000000.0
Selling General And Administration,52530000000.0,10289000000.0,8752000000.0,12281000000.0
Selling And Marketing Expense,51968000000.0,9759000000.0,8299000000.0,12021000000.0
General And Administrative Expense,562000000.0,530000000.0,453000000.0,260000000.0
Rent And Landing Fees,20379000000.0,17472000000.0,12982000000.0,10064000000.0
Gross Profit,263978000000.0,157375000000.0,128877000000.0,149330000000.0
Cost Of Revenue,861135000000.0,694313000000.0,549012000000.0,579877000000.0
Total Revenue,1125113000000.0,851688000000.0,677889000000.0,729207000000.0
Operating Revenue,1125113000000.0,851688000000.0,677889000000.0,729207000000.0
