,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,371407.435508,-407795.820963,15247729.020691,-144033300.629286
Tax Rate For Calcs,0.142849,0.180761,0.055899,0.38336
Total Unusual Items,2600000.0,-2256000.0,272772000.0,-375713000.0
Total Unusual Items Excluding Goodwill,2600000.0,-2256000.0,272772000.0,-375713000.0
Net Income From Continuing Operation Net Minority Interest,3784800000.0,2533700000.0,4253940000.0,1449937000.0
Reconciled Depreciation,1777700000.0,1802128000.0,1616593000.0,1612182000.0
EBIT,5844400000.0,4079952000.0,6144612000.0,4678598000.0
Net Interest Income,-572400000.0,-664499000.0,-404202000.0,-387653000.0
Interest Expense,572400000.0,193363000.0,215687000.0,253743000.0
Interest Income,64428800000.0,54150757000.0,46510393000.0,40971324000.0
Normalized Income,3782571407.435508,2535548204.179037,3996415729.020691,1681616699.370714
Net Income From Continuing And Discontinued Operation,3784800000.0,2533700000.0,4253940000.0,1449937000.0
Total Expenses,308860600000.0,306468204000.0,306484986000.0,176852081000.0
Rent Expense Supplemental,,48503000.0,90823000.0,144600000.0
Diluted Average Shares,345013674.0,345190736.0,293266049.0,269573818.0
Basic Average Shares,345013674.0,345190736.0,293150829.0,269431688.0
Diluted EPS,10.97,7.34,14.51,5.38
Basic EPS,10.97,7.34,14.51,5.38
Diluted NI Availto Com Stockholders,3784800000.0,2533700000.0,4253940000.0,1449937000.0
Net Income Common Stockholders,3784800000.0,2533700000.0,4253940000.0,1449937000.0
Net Income,3784800000.0,2533700000.0,4253940000.0,1449937000.0
Minority Interests,-734100000.0,-650347000.0,-1343563000.0,-1278606000.0
Net Income Including Noncontrolling Interests,4518900000.0,3184047000.0,5597503000.0,2728543000.0
Net Income Continuous Operations,4518900000.0,3184047000.0,5597503000.0,2728543000.0
Tax Provision,753100000.0,702542000.0,331422000.0,1696312000.0
Pretax Income,5272000000.0,3886589000.0,5928925000.0,4424855000.0
Other Income Expense,671200000.0,2272024000.0,-14247168000.0,11526549000.0
Special Income Charges,2600000.0,-2256000.0,272772000.0,-375713000.0
Other Special Charges,0.0,4984000.0,2106000.0,-2571000.0
Write Off,-2600000.0,-2728000.0,-274878000.0,311085000.0
Impairment Of Capital Assets,,,0.0,67199000.0
Net Non Operating Interest Income Expense,-572400000.0,-664499000.0,-404202000.0,-387653000.0
Total Other Finance Cost,,476652000.0,194217000.0,133928000.0
Interest Expense Non Operating,572400000.0,193363000.0,215687000.0,253743000.0
Interest Income Non Operating,,5516000.0,5702000.0,18000.0
Other Operating Expenses,102100000.0,5902183000.0,5396600000.0,6262214000.0
Depreciation And Amortization In Income Statement,1777800000.0,1802228000.0,1616629000.0,1544983000.0
Amortization,,,0.0,889000.0
Depreciation Income Statement,,1802228000.0,1616629000.0,1544094000.0
Selling General And Administration,157800000.0,6229692000.0,3923240000.0,3886488000.0
Selling And Marketing Expense,,5886315000.0,3536333000.0,3050048000.0
General And Administrative Expense,157800000.0,343377000.0,386907000.0,836440000.0
Rent And Landing Fees,,48503000.0,90823000.0,144600000.0
Total Revenue,314132600000.0,310354793000.0,312413911000.0,181276936000.0
Operating Revenue,314132600000.0,310354793000.0,312413911000.0,181276936000.0
