,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,9401617.523009,-99324000.0,18340560.982803,-43333405.113808
Tax Rate For Calcs,0.376065,0.4,0.16754,0.251792
Normalized EBITDA,67253500000.0,42355910000.0,10649630000.0,-34191320000.0
Total Unusual Items,25000000.0,-248310000.0,109470000.0,-172100000.0
Total Unusual Items Excluding Goodwill,25000000.0,-248310000.0,109470000.0,-172100000.0
Net Income From Continuing Operation Net Minority Interest,26554000000.0,29582520000.0,-5675130000.0,-33529180000.0
Reconciled Depreciation,11867000000.0,10877240000.0,11580350000.0,10857910000.0
Reconciled Cost Of Revenue,998558200000.0,640437760000.0,306440010000.0,522629260000.0
EBITDA,67278500000.0,42107600000.0,10759100000.0,-34363420000.0
EBIT,55411500000.0,31230360000.0,-821250000.0,-45221330000.0
Net Interest Income,-12852600000.0,-8480780000.0,-8227960000.0,-8557250000.0
Interest Expense,12852600000.0,4117240000.0,8367980000.0,8762710000.0
Interest Income,166510000.0,353390000.0,180320000.0,275820000.0
Normalized Income,26538401617.52301,29731506000.0,-5766259439.017197,-33400413405.113808
Net Income From Continuing And Discontinued Operation,26554000000.0,29582520000.0,-5675130000.0,-33529180000.0
Total Expenses,1035461800000.0,656411610000.0,321881940000.0,536977870000.0
Rent Expense Supplemental,60630000.0,38500000.0,40980000.0,34270000.0
Diluted Average Shares,,1752600000.0,1752600000.0,1752600000.0
Basic Average Shares,,1752600000.0,1752600000.0,1752600000.0
Diluted EPS,,16.88,-4.36,-19.14
Basic EPS,,16.88,-4.36,-19.14
Diluted NI Availto Com Stockholders,26554000000.0,29582520000.0,-5675130000.0,-33529180000.0
Net Income Common Stockholders,26554000000.0,29582520000.0,-5675130000.0,-33529180000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,26554000000.0,29582520000.0,-5675130000.0,-33529180000.0
Minority Interests,0.0,0.0,1974540000.0,6862110000.0
Net Income Including Noncontrolling Interests,26554000000.0,29582520000.0,-7649670000.0,-40391290000.0
Net Income Continuous Operations,26554000000.0,29582520000.0,-7649670000.0,-40391290000.0
Tax Provision,16004900000.0,-2469400000.0,-1539560000.0,-13592750000.0
Pretax Income,42558900000.0,27113120000.0,-9189230000.0,-53984040000.0
Other Non Operating Income Expenses,1899700000.0,177140000.0,295880000.0,214780000.0
Special Income Charges,25000000.0,-250270000.0,109470000.0,-172100000.0
Other Special Charges,-25000000.0,208880000.0,-113280000.0,3790000.0
Write Off,540890000.0,41390000.0,3810000.0,168310000.0
Net Non Operating Interest Income Expense,-12852600000.0,-8480780000.0,-8227960000.0,-8557250000.0
Total Other Finance Cost,170620000.0,4716930000.0,40300000.0,70360000.0
Interest Expense Non Operating,12852600000.0,4117240000.0,8367980000.0,8762710000.0
Interest Income Non Operating,166510000.0,353390000.0,180320000.0,275820000.0
Operating Income,53099200000.0,41434230000.0,-5372330000.0,-33263230000.0
Operating Expense,36903600000.0,15973850000.0,15441930000.0,14348610000.0
Other Operating Expenses,29925900000.0,8834910000.0,9945640000.0,10132250000.0
Selling General And Administration,671550000.0,602490000.0,451950000.0,444670000.0
General And Administrative Expense,671550000.0,602490000.0,451950000.0,444670000.0
Rent And Landing Fees,60630000.0,38500000.0,40980000.0,34270000.0
Gross Profit,90002800000.0,57408080000.0,10069600000.0,-18914620000.0
Cost Of Revenue,998558200000.0,640437760000.0,306440010000.0,522629260000.0
Total Revenue,1088561000000.0,697845840000.0,316509610000.0,503714640000.0
Operating Revenue,1088561000000.0,697845840000.0,316509610000.0,503714640000.0
