,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-627689081.028043,-1393892.433911,-56046325.36568
Tax Rate For Calcs,0.222474,0.253622,0.012906,0.392481
Normalized EBITDA,25738800000.0,50501400000.0,19372400000.0,7740900000.0
Total Unusual Items,0.0,-2474900000.0,-108000000.0,-142800000.0
Total Unusual Items Excluding Goodwill,0.0,-2474900000.0,-108000000.0,-142800000.0
Net Income From Continuing Operation Net Minority Interest,14346600000.0,29514100000.0,12994100000.0,1362300000.0
Reconciled Depreciation,7158000000.0,8365900000.0,6058200000.0,5298300000.0
Reconciled Cost Of Revenue,85649500000.0,69802000000.0,52969400000.0,55907500000.0
EBITDA,25738800000.0,48026500000.0,19264400000.0,7598100000.0
EBIT,18580800000.0,39660600000.0,13206200000.0,2299800000.0
Net Interest Income,-129200000.0,1872400000.0,778100000.0,2121600000.0
Interest Expense,129200000.0,117500000.0,42200000.0,57400000.0
Interest Income,,2103600000.0,848900000.0,2179000000.0
Normalized Income,14346600000.0,31361310918.97196,13100706107.56609,1449053674.63432
Net Income From Continuing And Discontinued Operation,14346600000.0,29514100000.0,12994100000.0,1362300000.0
Total Expenses,125225800000.0,100975100000.0,76654000000.0,84311900000.0
Rent Expense Supplemental,,8100000.0,,
Diluted Average Shares,1836952625.0,1836596142.0,1864400000.0,1865600000.0
Basic Average Shares,1836952625.0,1836596142.0,1864400000.0,1865600000.0
Diluted EPS,7.81,16.07,6.97,0.73
Basic EPS,7.81,16.07,6.97,0.73
Diluted NI Availto Com Stockholders,14346600000.0,29514100000.0,12994100000.0,1362300000.0
Net Income Common Stockholders,14346600000.0,29514100000.0,12994100000.0,1362300000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,14346600000.0,29514100000.0,12994100000.0,1362300000.0
Net Income Including Noncontrolling Interests,14346600000.0,29514100000.0,12994100000.0,1362300000.0
Net Income Continuous Operations,14346600000.0,29514100000.0,12994100000.0,1362300000.0
Tax Provision,4105000000.0,10029000000.0,169900000.0,880100000.0
Pretax Income,18451600000.0,39543100000.0,13164000000.0,2242400000.0
Other Non Operating Income Expenses,2356300000.0,413300000.0,419900000.0,202600000.0
Special Income Charges,0.0,-2471300000.0,-111800000.0,-156400000.0
Other Special Charges,,-4400000.0,,
Write Off,,99500000.0,111800000.0,156400000.0
Impairment Of Capital Assets,,2376200000.0,,
Net Non Operating Interest Income Expense,-129200000.0,1872400000.0,778100000.0,2121600000.0
Total Other Finance Cost,,113700000.0,28600000.0,
Interest Expense Non Operating,129200000.0,117500000.0,42200000.0,57400000.0
Interest Income Non Operating,,2103600000.0,848900000.0,2179000000.0
Operating Income,17322800000.0,39614700000.0,12038900000.0,-54400000.0
Operating Expense,39576300000.0,31173100000.0,23684600000.0,28404400000.0
Other Operating Expenses,21255700000.0,5827200000.0,5002700000.0,6301400000.0
Selling General And Administration,,3264400000.0,3020200000.0,2818400000.0
Selling And Marketing Expense,,2058400000.0,1980300000.0,1567500000.0
General And Administrative Expense,,1206000000.0,1039900000.0,1250900000.0
Rent And Landing Fees,,8100000.0,,
Gross Profit,56899100000.0,70787800000.0,35723500000.0,28350000000.0
Cost Of Revenue,85649500000.0,69802000000.0,52969400000.0,55907500000.0
Total Revenue,142548600000.0,140589800000.0,88692900000.0,84257500000.0
Operating Revenue,142548600000.0,140589800000.0,88692900000.0,84257500000.0
