,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-2037008000.0,10626405034.275078,1654794499.05934,569343000.0
Tax Rate For Calcs,0.4,0.092808,0.113575,0.3
Normalized EBITDA,7302140000.0,27996350000.0,1880060000.0,-2643730000.0
Total Unusual Items,-5092520000.0,114500150000.0,14570050000.0,1934760000.0
Total Unusual Items Excluding Goodwill,-5092520000.0,114498820000.0,14570050000.0,1897810000.0
Net Income From Continuing Operation Net Minority Interest,-1074100000.0,127595710000.0,14070810000.0,-2376230000.0
Reconciled Depreciation,730150000.0,449050000.0,499140000.0,477410000.0
Reconciled Cost Of Revenue,633670000.0,340160000.0,284470000.0,292950000.0
EBITDA,2209620000.0,142496500000.0,16450110000.0,-708970000.0
EBIT,1479470000.0,142047450000.0,15950970000.0,-1186380000.0
Net Interest Income,-73350000.0,1455250000.0,1114150000.0,722320000.0
Interest Expense,73350000.0,46310000.0,57870000.0,71240000.0
Interest Income,,1569540000.0,1222800000.0,863050000.0
Normalized Income,1981412000.0,23724625034.275078,1155554499.05934,-3667747000.0
Net Income From Continuing And Discontinued Operation,-1074100000.0,127595710000.0,14070810000.0,-2376230000.0
Total Expenses,18503310000.0,11879170000.0,8915860000.0,9775260000.0
Rent Expense Supplemental,,7700000.0,25250000.0,40530000.0
Diluted Average Shares,129272912.0,129463081.0,127090048.0,122081252.0
Basic Average Shares,128858334.0,128705463.0,126188125.0,122081252.0
Diluted EPS,-8.34,985.58,111.44,-19.46
Basic EPS,-8.34,991.38,112.24,-19.46
Diluted NI Availto Com Stockholders,-1074100000.0,127595710000.0,14070810000.0,-2376230000.0
Net Income Common Stockholders,-1074100000.0,127595710000.0,14070810000.0,-2376230000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-1074100000.0,127595710000.0,14070810000.0,-2376230000.0
Minority Interests,-369510000.0,-1226590000.0,-17230000.0,81250000.0
Net Income Including Noncontrolling Interests,-704590000.0,128822300000.0,14088040000.0,-2457480000.0
Net Income Continuous Operations,-704590000.0,128822300000.0,14088040000.0,-2457480000.0
Tax Provision,2110710000.0,13178840000.0,1805060000.0,1199860000.0
Pretax Income,1406120000.0,142001140000.0,15893100000.0,-1257620000.0
Other Non Operating Income Expenses,3928530000.0,82360000.0,39100000.0,5600000.0
Special Income Charges,-6174090000.0,6447290000.0,14341800000.0,1785270000.0
Other Special Charges,85000000.0,-6448620000.0,-14341800000.0,-1853790000.0
Write Off,6089090000.0,,,
Impairment Of Capital Assets,,,0.0,31570000.0
Net Non Operating Interest Income Expense,-73350000.0,1455250000.0,1114150000.0,722320000.0
Total Other Finance Cost,,67980000.0,50780000.0,69490000.0
Interest Expense Non Operating,73350000.0,46310000.0,57870000.0,71240000.0
Interest Income Non Operating,,1569540000.0,1222800000.0,863050000.0
Operating Income,4953600000.0,4011090000.0,2285360000.0,3344040000.0
Operating Expense,17869640000.0,11539010000.0,8631390000.0,9482310000.0
Other Operating Expenses,2084350000.0,89330000.0,81860000.0,163110000.0
Depreciation And Amortization In Income Statement,730150000.0,449050000.0,499140000.0,477410000.0
Amortization,224370000.0,69090000.0,79680000.0,68480000.0
Depreciation Income Statement,730150000.0,379960000.0,419460000.0,408930000.0
Selling General And Administration,4082090000.0,3529880000.0,2351600000.0,2955010000.0
Selling And Marketing Expense,4082090000.0,2860780000.0,1826060000.0,2062870000.0
General And Administrative Expense,2084350000.0,669100000.0,525540000.0,892140000.0
Rent And Landing Fees,,7700000.0,25250000.0,40530000.0
Gross Profit,22823240000.0,15550100000.0,10916750000.0,12826350000.0
Cost Of Revenue,633670000.0,340160000.0,284470000.0,292950000.0
Total Revenue,23456910000.0,15890260000.0,11201220000.0,13119300000.0
Operating Revenue,23456910000.0,15890260000.0,11201220000.0,13119300000.0
