,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-37794981.004869,1568440000.0,-203790000.0,-13098524.163046
Tax Rate For Calcs,0.306777,0.4,0.3,0.380771
Normalized EBITDA,48805900000.0,49683900000.0,50578000000.0,48482600000.0
Total Unusual Items,-123200000.0,3921100000.0,-679300000.0,-34400000.0
Total Unusual Items Excluding Goodwill,-123200000.0,3921100000.0,-679300000.0,-34400000.0
Net Income From Continuing Operation Net Minority Interest,13956600000.0,10925700000.0,13132100000.0,14413700000.0
Reconciled Depreciation,18007900000.0,19087200000.0,15842100000.0,13341500000.0
Reconciled Cost Of Revenue,24063600000.0,37540200000.0,27531300000.0,28583600000.0
EBITDA,48682700000.0,53605000000.0,49898700000.0,48448200000.0
EBIT,30674800000.0,34517800000.0,34056600000.0,35106700000.0
Net Interest Income,-10116900000.0,-8668600000.0,-11991400000.0,-10770100000.0
Interest Expense,10116900000.0,8486400000.0,11512600000.0,11655600000.0
Interest Income,4863200000.0,1169200000.0,1134300000.0,973700000.0
Normalized Income,14042005018.99513,8573040000.0,13607610000.0,14435001475.836954
Net Income From Continuing And Discontinued Operation,13956600000.0,10925700000.0,13132100000.0,14413700000.0
Total Expenses,121245700000.0,96130800000.0,84996600000.0,81921700000.0
Rent Expense Supplemental,15000000.0,15700000.0,15300000.0,17100000.0
Diluted Average Shares,1386636609.0,1386636609.0,1386636609.0,1386636609.0
Basic Average Shares,1386636609.0,1386636609.0,1386636609.0,1386636609.0
Diluted EPS,10.065218,7.879281,9.244527,10.394721
Basic EPS,10.065218,7.879281,9.244527,10.394721
Diluted NI Availto Com Stockholders,13956600000.0,10925700000.0,13132100000.0,14413700000.0
Net Income Common Stockholders,13956600000.0,10925700000.0,13132100000.0,14413700000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,13956600000.0,10925700000.0,13132100000.0,14413700000.0
Minority Interests,-304200000.0,-230800000.0,-322300000.0,-116100000.0
Net Income Including Noncontrolling Interests,14261000000.0,11156500000.0,13454400000.0,14529800000.0
Net Income Continuous Operations,14261000000.0,11156500000.0,13454400000.0,14529800000.0
Tax Provision,6306700000.0,14880100000.0,9090300000.0,8929500000.0
Pretax Income,20557900000.0,26031400000.0,22544000000.0,23451100000.0
Other Non Operating Income Expenses,-9608700000.0,7420600000.0,21630900000.0,13001200000.0
Special Income Charges,-123200000.0,3921100000.0,-679300000.0,-34400000.0
Other Special Charges,123200000.0,-3922500000.0,677900000.0,
Write Off,11798800000.0,,,
Restructuring And Mergern Acquisition,1100000.0,1400000.0,1400000.0,34400000.0
Net Non Operating Interest Income Expense,-10116900000.0,-8668600000.0,-11991400000.0,-10770100000.0
Total Other Finance Cost,1767800000.0,1351400000.0,1613100000.0,88200000.0
Interest Expense Non Operating,10116900000.0,8486400000.0,11512600000.0,11655600000.0
Interest Income Non Operating,4863200000.0,1169200000.0,1134300000.0,973700000.0
Operating Income,20206700000.0,23348600000.0,13464300000.0,21283900000.0
Operating Expense,97182100000.0,58590600000.0,57465300000.0,53338100000.0
Other Operating Expenses,53385900000.0,14463300000.0,15304400000.0,13921400000.0
Depreciation And Amortization In Income Statement,18007900000.0,19087200000.0,15842100000.0,13341500000.0
Depreciation Income Statement,18007900000.0,19087200000.0,15842100000.0,13341500000.0
Selling General And Administration,1342500000.0,1876000000.0,1262000000.0,725000000.0
Selling And Marketing Expense,131000000.0,532600000.0,281400000.0,325500000.0
General And Administrative Expense,1211500000.0,1343400000.0,980600000.0,399500000.0
Rent And Landing Fees,15000000.0,15700000.0,15300000.0,17100000.0
Gross Profit,117388800000.0,81939200000.0,70929600000.0,74622000000.0
Cost Of Revenue,24063600000.0,37540200000.0,27531300000.0,28583600000.0
Total Revenue,141452400000.0,119479400000.0,98460900000.0,103205600000.0
Operating Revenue,141452400000.0,119479400000.0,98460900000.0,103205600000.0
