,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-50600000.0,62515300.0,-76580000.0
Tax Rate For Calcs,0.297195,0.25,0.29,0.35
Normalized EBITDA,26632210000.0,26535170000.0,25790150000.0,24279070000.0
Total Unusual Items,-408730000.0,-202400000.0,215570000.0,-218800000.0
Total Unusual Items Excluding Goodwill,-408730000.0,-202400000.0,215570000.0,-218800000.0
Net Income From Continuing Operation Net Minority Interest,18061410000.0,18888260000.0,17618550000.0,14622170000.0
Reconciled Depreciation,806620000.0,927990000.0,1041110000.0,1063810000.0
Reconciled Cost Of Revenue,27741720000.0,,,
EBITDA,26632210000.0,26332770000.0,26005720000.0,24060270000.0
EBIT,25825590000.0,25404780000.0,24964610000.0,22996460000.0
Net Interest Income,-126550000.0,779840000.0,947360000.0,1184490000.0
Interest Expense,126550000.0,122010000.0,191290000.0,473650000.0
Interest Income,1672840000.0,901850000.0,1138650000.0,1658140000.0
Normalized Income,18061410000.0,19040060000.0,17465495300.0,14764390000.0
Net Income From Continuing And Discontinued Operation,18061410000.0,18888260000.0,17618550000.0,14622170000.0
Total Expenses,33075930000.0,28013570000.0,26334740000.0,27289680000.0
Rent Expense Supplemental,94160000.0,88810000.0,99720000.0,109990000.0
Diluted Average Shares,86730748.0,86629125.0,86370816.0,86185112.0
Basic Average Shares,86360061.0,86171977.0,85986435.0,85823066.0
Diluted EPS,208.25,218.04,203.99,169.66
Basic EPS,209.14,219.19,204.9,170.38
Diluted NI Availto Com Stockholders,18061410000.0,18888260000.0,17618550000.0,14622170000.0
Net Income Common Stockholders,18061410000.0,18888260000.0,17618550000.0,14622170000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,18061410000.0,18888260000.0,17618550000.0,14622170000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,18061410000.0,18888260000.0,17618550000.0,14622170000.0
Net Income Continuous Operations,18061410000.0,18888260000.0,17618550000.0,14622170000.0
Tax Provision,7637630000.0,6394510000.0,7154770000.0,7900640000.0
Pretax Income,25699040000.0,25282770000.0,24773320000.0,22522810000.0
Other Non Operating Income Expenses,1918430000.0,224390000.0,403630000.0,181060000.0
Special Income Charges,-253980000.0,-139960000.0,141480000.0,-99700000.0
Other Special Charges,2260000.0,340000.0,-1160000.0,-310000.0
Write Off,251720000.0,139620000.0,-140320000.0,100010000.0
Net Non Operating Interest Income Expense,-126550000.0,779840000.0,947360000.0,1184490000.0
Interest Expense Non Operating,126550000.0,122010000.0,191290000.0,473650000.0
Interest Income Non Operating,1672840000.0,901850000.0,1138650000.0,1658140000.0
Operating Income,23907160000.0,24200980000.0,23504630000.0,21323080000.0
Operating Expense,5334210000.0,28013570000.0,26334740000.0,27289680000.0
Other Operating Expenses,2438200000.0,1226560000.0,1596420000.0,3379740000.0
Depreciation And Amortization In Income Statement,806620000.0,927990000.0,1041110000.0,1063810000.0
Depreciation Income Statement,806620000.0,927990000.0,1041110000.0,1063810000.0
Selling General And Administration,2089390000.0,1711590000.0,1579950000.0,1558130000.0
General And Administrative Expense,2089390000.0,1711590000.0,1579950000.0,1558130000.0
Rent And Landing Fees,94160000.0,88810000.0,99720000.0,109990000.0
Gross Profit,29241370000.0,,,
Cost Of Revenue,27741720000.0,,,
Total Revenue,56983090000.0,52214550000.0,49839370000.0,48612760000.0
Operating Revenue,56983090000.0,52214550000.0,49839370000.0,48612760000.0
