,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,31108.874699,-64619.757946,43849137.87794
Tax Rate For Calcs,0.25203,0.324051,0.257449,0.219749
Normalized EBITDA,1539736000.0,864666000.0,267860000.0,238582000.0
Total Unusual Items,0.0,96000.0,-251000.0,199542000.0
Total Unusual Items Excluding Goodwill,0.0,96000.0,-251000.0,199542000.0
Net Income From Continuing Operation Net Minority Interest,655945000.0,353514000.0,80751000.0,135295000.0
Reconciled Depreciation,331135000.0,293150000.0,133212000.0,175219000.0
Reconciled Cost Of Revenue,8188905000.0,4411449000.0,2061227000.0,1096881000.0
EBITDA,1539736000.0,864762000.0,267609000.0,438124000.0
EBIT,1208601000.0,571612000.0,134397000.0,262905000.0
Net Interest Income,-314272000.0,-25790000.0,33029000.0,77657000.0
Interest Expense,314272000.0,48552000.0,25661000.0,89498000.0
Interest Income,94008000.0,67004000.0,108052000.0,217057000.0
Normalized Income,655945000.0,353449108.874699,80937380.242054,-20397862.12206
Net Income From Continuing And Discontinued Operation,655945000.0,353514000.0,80751000.0,135295000.0
Total Expenses,9826025000.0,5397130000.0,2740295000.0,2047435000.0
Rent Expense Supplemental,26551000.0,17605000.0,17589000.0,10864000.0
Diluted Average Shares,82080737.0,82080737.0,82080737.0,82250954.0
Basic Average Shares,82080737.0,82080737.0,82080737.0,82021721.0
Diluted EPS,7.99,4.31,0.98,1.64
Basic EPS,7.99,4.31,0.98,1.65
Diluted NI Availto Com Stockholders,655945000.0,353514000.0,80751000.0,135295000.0
Net Income Common Stockholders,655945000.0,353514000.0,80751000.0,135295000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,655945000.0,353514000.0,80751000.0,135295000.0
Minority Interests,-12986000.0,-48000.0,9000.0,-6000.0
Net Income Including Noncontrolling Interests,668931000.0,353562000.0,80742000.0,135301000.0
Net Income Continuous Operations,668931000.0,353562000.0,80742000.0,135301000.0
Tax Provision,225398000.0,169498000.0,27994000.0,38106000.0
Pretax Income,894329000.0,523060000.0,108736000.0,173407000.0
Other Non Operating Income Expenses,100626000.0,510000.0,114806000.0,564000.0
Special Income Charges,0.0,96000.0,-251000.0,194211000.0
Other Special Charges,-95000.0,-96000.0,251000.0,-194211000.0
Restructuring And Mergern Acquisition,0.0,25581000.0,,
Net Non Operating Interest Income Expense,-314272000.0,-25790000.0,33029000.0,77657000.0
Total Other Finance Cost,125101000.0,44242000.0,49362000.0,49902000.0
Interest Expense Non Operating,314272000.0,48552000.0,25661000.0,89498000.0
Interest Income Non Operating,94008000.0,67004000.0,108052000.0,217057000.0
Operating Income,1081583000.0,527661000.0,68815000.0,-124831000.0
Operating Expense,1637120000.0,985681000.0,679068000.0,950554000.0
Other Operating Expenses,779565000.0,208865000.0,156784000.0,394837000.0
Depreciation And Amortization In Income Statement,331135000.0,293150000.0,133212000.0,175219000.0
Amortization,30987000.0,21820000.0,17228000.0,15188000.0
Depreciation Income Statement,331135000.0,271330000.0,115984000.0,160031000.0
Selling General And Administration,136008000.0,112788000.0,71255000.0,126439000.0
Selling And Marketing Expense,63975000.0,73511000.0,42020000.0,73918000.0
General And Administrative Expense,72033000.0,39277000.0,29235000.0,52521000.0
Rent And Landing Fees,26551000.0,17605000.0,17589000.0,10864000.0
Gross Profit,2718703000.0,1513342000.0,747883000.0,825723000.0
Cost Of Revenue,8188905000.0,4411449000.0,2061227000.0,1096881000.0
Total Revenue,10907608000.0,5924791000.0,2809110000.0,1922604000.0
Operating Revenue,10907608000.0,5924791000.0,2809110000.0,1922604000.0
