,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-43714190008.84073,-8394187693.735654,-21882918547.739864,-72665299705.40509
Tax Rate For Calcs,0.238629,0.088685,0.291143,0.393746
Normalized EBITDA,938160800000.0,947231690000.0,666557490000.0,680480410000.0
Total Unusual Items,-183189100000.0,-94652200000.0,-75162200000.0,-184548810000.0
Total Unusual Items Excluding Goodwill,-183189100000.0,-94652200000.0,-75162200000.0,-184548810000.0
Net Income From Continuing Operation Net Minority Interest,354404800000.0,455221060000.0,162486880000.0,109071480000.0
Reconciled Depreciation,245570500000.0,268831640000.0,255384710000.0,266348810000.0
Reconciled Cost Of Revenue,4808733500000.0,3785504410000.0,2296996520000.0,3105106420000.0
EBITDA,754971700000.0,852579490000.0,591395290000.0,495931600000.0
EBIT,509401200000.0,583747850000.0,336010580000.0,229582790000.0
Net Interest Income,-78893600000.0,-39310870000.0,-42750250000.0,-44227270000.0
Interest Expense,78893600000.0,42836830000.0,34914110000.0,38901290000.0
Interest Income,,10214780000.0,7481680000.0,8299160000.0
Normalized Income,493879709991.1593,541479072306.26434,215766161452.26013,220954990294.5949
Net Income From Continuing And Discontinued Operation,354404800000.0,455221060000.0,162486880000.0,109071480000.0
Total Expenses,6236783300000.0,4288347280000.0,2692902120000.0,3554389280000.0
Diluted Average Shares,12580930067.0,12578643272.0,12580280000.0,12580280000.0
Basic Average Shares,12580930067.0,12578643272.0,12580280000.0,12580280000.0
Diluted EPS,28.17,36.19,12.92,8.59
Basic EPS,28.17,36.19,12.92,8.59
Diluted NI Availto Com Stockholders,354404800000.0,455221060000.0,162486880000.0,109071480000.0
Net Income Common Stockholders,354404800000.0,455221060000.0,162486880000.0,109071480000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,354404800000.0,455221060000.0,162486880000.0,109071480000.0
Minority Interests,26628700000.0,-37719510000.0,-50947580000.0,-6530000000.0
Net Income Including Noncontrolling Interests,327776100000.0,492940570000.0,213434460000.0,115601480000.0
Net Income Continuous Operations,327776100000.0,492940570000.0,213434460000.0,115601480000.0
Tax Provision,102731500000.0,47970450000.0,87662010000.0,75080020000.0
Pretax Income,430507600000.0,540911020000.0,301096470000.0,190681500000.0
Other Non Operating Income Expenses,80740800000.0,26099550000.0,27977590000.0,37936010000.0
Special Income Charges,-183189100000.0,-95673260000.0,-80915070000.0,-187558000000.0
Other Special Charges,81379400000.0,19731710000.0,582310000.0,90224860000.0
Write Off,,7860030000.0,10604160000.0,-9394750000.0
Impairment Of Capital Assets,101809700000.0,68081520000.0,69728600000.0,106727890000.0
Net Non Operating Interest Income Expense,-78893600000.0,-39310870000.0,-42750250000.0,-44227270000.0
Total Other Finance Cost,,6688820000.0,15317820000.0,13625140000.0
Interest Expense Non Operating,78893600000.0,42836830000.0,34914110000.0,38901290000.0
Interest Income Non Operating,,10214780000.0,7481680000.0,8299160000.0
Operating Income,611508900000.0,622831660000.0,345712380000.0,411343980000.0
Operating Expense,1428049800000.0,502842870000.0,395905600000.0,449282860000.0
Other Operating Expenses,1359980300000.0,272631390000.0,191666440000.0,241851630000.0
Research And Development,,5133080000.0,5541300000.0,5557730000.0
Selling General And Administration,,144652530000.0,121530320000.0,124435950000.0
Selling And Marketing Expense,,101206670000.0,83481590000.0,81886860000.0
General And Administrative Expense,,43445860000.0,38048730000.0,42549090000.0
Gross Profit,2039558700000.0,1125674530000.0,741617980000.0,860626840000.0
Cost Of Revenue,4808733500000.0,3785504410000.0,2296996520000.0,3105106420000.0
Total Revenue,6848292200000.0,4911178940000.0,3038614500000.0,3965733260000.0
Operating Revenue,6848292200000.0,4911178940000.0,3038614500000.0,3965733260000.0
