,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,17978400.0,-3105960.0,18404124.9
Tax Rate For Calcs,0.239805,0.198,0.1991,0.1897
Normalized EBITDA,7718300000.0,6719400000.0,5362200000.0,4830833000.0
Total Unusual Items,194900000.0,90800000.0,-15600000.0,97017000.0
Total Unusual Items Excluding Goodwill,194900000.0,90800000.0,-15600000.0,97017000.0
Net Income From Continuing Operation Net Minority Interest,4418000000.0,4260200000.0,3136300000.0,2865515000.0
Reconciled Depreciation,1367400000.0,1208800000.0,1101200000.0,923621000.0
Reconciled Cost Of Revenue,43524500000.0,32620900000.0,17051600000.0,22880631000.0
EBITDA,7718300000.0,6810200000.0,5346600000.0,4927850000.0
EBIT,6350900000.0,5601300000.0,4245400000.0,4004229000.0
Net Interest Income,-534100000.0,-224900000.0,-283400000.0,-423476000.0
Interest Expense,534100000.0,285600000.0,325000000.0,456197000.0
Interest Income,28300000.0,66000000.0,55400000.0,35505000.0
Normalized Income,4418000000.0,4187378400.0,3148794040.0,2786902124.9
Net Income From Continuing And Discontinued Operation,4418000000.0,4260200000.0,3136300000.0,2865515000.0
Total Expenses,51795800000.0,39147900000.0,22515900000.0,28434339000.0
Rent Expense Supplemental,103700000.0,81000000.0,58800000.0,46921000.0
Diluted Average Shares,377452504.0,360554940.0,344675720.0,344675720.0
Basic Average Shares,377452504.0,360554940.0,344675720.0,344675720.0
Diluted EPS,11.7,11.81,9.1,8.313611
Basic EPS,11.7,11.81,9.1,8.313611
Diluted NI Availto Com Stockholders,4418000000.0,4260200000.0,3136300000.0,2865515000.0
Net Income Common Stockholders,4418000000.0,4260200000.0,3136300000.0,2865515000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4418000000.0,4260200000.0,3136300000.0,2865515000.0
Minority Interests,3900000.0,-3200000.0,-3600000.0,-9500000.0
Net Income Including Noncontrolling Interests,4421900000.0,4263400000.0,3139900000.0,2875015000.0
Net Income Continuous Operations,4421900000.0,4263400000.0,3139900000.0,2875015000.0
Tax Provision,1394900000.0,1052300000.0,780500000.0,673017000.0
Pretax Income,5816800000.0,5315700000.0,3920400000.0,3548032000.0
Other Non Operating Income Expenses,406100000.0,49300000.0,17400000.0,24895000.0
Special Income Charges,-200000.0,-3900000.0,14100000.0,-10058000.0
Other Special Charges,200000.0,3900000.0,-14100000.0,10058000.0
Write Off,0.0,,,
Net Non Operating Interest Income Expense,-534100000.0,-224900000.0,-283400000.0,-423476000.0
Total Other Finance Cost,1300000.0,5300000.0,13800000.0,2784000.0
Interest Expense Non Operating,534100000.0,285600000.0,325000000.0,456197000.0
Interest Income Non Operating,28300000.0,66000000.0,55400000.0,35505000.0
Operating Income,5944800000.0,5102400000.0,4023700000.0,3786106000.0
Operating Expense,8271300000.0,6527000000.0,5464300000.0,5553708000.0
Other Operating Expenses,4999300000.0,1960700000.0,1521400000.0,1977192000.0
Depreciation And Amortization In Income Statement,1367400000.0,1208900000.0,1101200000.0,923621000.0
Amortization,1100000.0,1900000.0,3600000.0,4163000.0
Depreciation Income Statement,1367400000.0,1207000000.0,1097600000.0,919458000.0
Research And Development,,93800000.0,90200000.0,98194000.0
Selling General And Administration,1312300000.0,1627300000.0,1304200000.0,1270537000.0
Selling And Marketing Expense,1229500000.0,1556100000.0,1246900000.0,1237145000.0
General And Administrative Expense,82800000.0,71200000.0,57300000.0,33392000.0
Rent And Landing Fees,103700000.0,81000000.0,58800000.0,46921000.0
Gross Profit,14216100000.0,11629400000.0,9488000000.0,9339814000.0
Cost Of Revenue,43524500000.0,32620900000.0,17051600000.0,22880631000.0
Total Revenue,57740600000.0,44250300000.0,26539600000.0,32220445000.0
Operating Revenue,57740600000.0,44250300000.0,26539600000.0,32220445000.0
