,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-7656398.237635,-10808466.808408,-8678882.709948
Tax Rate For Calcs,0.200689,0.19733,0.209873,0.327505
Total Unusual Items,0.0,-38800000.0,-51500000.0,-26500000.0
Total Unusual Items Excluding Goodwill,0.0,-38800000.0,-51500000.0,-26500000.0
Net Income From Continuing Operation Net Minority Interest,158893300000.0,140147900000.0,117478300000.0,71221300000.0
Reconciled Depreciation,517800000.0,347800000.0,254500000.0,244300000.0
Net Interest Income,294791500000.0,301783400000.0,261619000000.0,207837000000.0
Interest Expense,470167800000.0,447087800000.0,446835200000.0,408446500000.0
Interest Income,764959300000.0,748871200000.0,708454200000.0,616283500000.0
Normalized Income,158893300000.0,140179043601.76236,117518991533.19159,71239121117.29005
Net Income From Continuing And Discontinued Operation,158893300000.0,140147900000.0,117478300000.0,71221300000.0
Diluted Average Shares,2640081408.0,2640081408.0,2640081408.0,2640081408.0
Basic Average Shares,2640081408.0,2640081408.0,2640081408.0,2640081408.0
Diluted EPS,60.19,53.08,44.5,26.98
Basic EPS,60.19,53.08,44.5,26.98
Diluted NI Availto Com Stockholders,158893300000.0,140147900000.0,117478300000.0,71221300000.0
Net Income Common Stockholders,158893300000.0,140147900000.0,117478300000.0,71221300000.0
Net Income,158893300000.0,140147900000.0,117478300000.0,71221300000.0
Minority Interests,-52892600000.0,-47534200000.0,-39683700000.0,-23551200000.0
Net Income Including Noncontrolling Interests,211785900000.0,187682100000.0,157162000000.0,94772500000.0
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0
Net Income Continuous Operations,211785900000.0,187682100000.0,157162000000.0,94772500000.0
Tax Provision,53174800000.0,46140100000.0,41745300000.0,46154200000.0
Pretax Income,264960700000.0,233822200000.0,198907300000.0,140926700000.0
Special Income Charges,0.0,-38800000.0,-51500000.0,-26500000.0
Other Special Charges,96600000.0,38800000.0,51500000.0,26500000.0
Gain On Sale Of Security,1158700000.0,-351400000.0,502400000.0,246600000.0
Operating Expense,12641500000.0,11570300000.0,10480200000.0,10916700000.0
Other Operating Expenses,7734700000.0,6650600000.0,5930400000.0,6036500000.0
Depreciation And Amortization In Income Statement,518000000.0,347700000.0,254600000.0,244300000.0
Depreciation Income Statement,518000000.0,347700000.0,254600000.0,244300000.0
Selling General And Administration,629400000.0,382500000.0,364500000.0,423000000.0
Selling And Marketing Expense,246500000.0,136700000.0,142300000.0,200600000.0
General And Administrative Expense,382900000.0,245800000.0,222200000.0,222400000.0
Insurance And Claims,5000000.0,3200000.0,3700000.0,3100000.0
Rent And Landing Fees,92300000.0,116600000.0,216700000.0,209000000.0
Total Revenue,276066600000.0,302494900000.0,267942700000.0,169495700000.0
Operating Revenue,276066600000.0,302494900000.0,267942700000.0,169495700000.0
