,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,46406817.1,53596537.2,28499148.8
Tax Rate For Calcs,0.261356,0.2513,0.2406,0.2432
Normalized EBITDA,8080716000.0,5099616000.0,4182101000.0,4687743000.0
Total Unusual Items,59241000.0,184667000.0,222762000.0,117184000.0
Total Unusual Items Excluding Goodwill,59241000.0,184667000.0,222762000.0,117184000.0
Net Income From Continuing Operation Net Minority Interest,5122784000.0,3226445000.0,2760036000.0,3075440000.0
Reconciled Depreciation,833405000.0,802072000.0,568547000.0,585084000.0
Reconciled Cost Of Revenue,29456591000.0,21868483000.0,15374764000.0,17708753000.0
EBITDA,8080716000.0,5284283000.0,4404863000.0,4804927000.0
EBIT,7247311000.0,4482211000.0,3836316000.0,4219843000.0
Net Interest Income,-311919000.0,-169041000.0,-179016000.0,-66283000.0
Interest Expense,311919000.0,172780000.0,201696000.0,156171000.0
Interest Income,36683000.0,44541000.0,49986000.0,143344000.0
Normalized Income,5122784000.0,3088184817.1,2590870537.2,2986755148.8
Net Income From Continuing And Discontinued Operation,5122784000.0,3226445000.0,2760036000.0,3075440000.0
Total Expenses,37823569000.0,27070957000.0,19537270000.0,22129454000.0
Rent Expense Supplemental,30212000.0,24161000.0,23761000.0,25086000.0
Diluted Average Shares,70092000.0,70092000.0,70092000.0,70092000.0
Basic Average Shares,70092000.0,70092000.0,70092000.0,70092000.0
Diluted EPS,72.830023,46.031573,39.38,43.88
Basic EPS,72.830023,46.031573,39.38,43.88
Diluted NI Availto Com Stockholders,5122784000.0,3226445000.0,2760036000.0,3075440000.0
Net Income Common Stockholders,5122784000.0,3226445000.0,2760036000.0,3075440000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,5122784000.0,3226445000.0,2760036000.0,3075440000.0
Minority Interests,-17982000.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,5122784000.0,3226445000.0,2760036000.0,3075440000.0
Net Income Continuous Operations,5122784000.0,3226445000.0,2760036000.0,3075440000.0
Tax Provision,1812608000.0,1082986000.0,874584000.0,988232000.0
Pretax Income,6935392000.0,4309431000.0,3634620000.0,4063672000.0
Other Non Operating Income Expenses,326850000.0,2339000.0,6086000.0,27901000.0
Special Income Charges,-3039000.0,4846000.0,-6173000.0,-2197000.0
Other Special Charges,2977000.0,-3191000.0,-1639000.0,-181000.0
Write Off,62000.0,-1655000.0,7812000.0,2378000.0
Net Non Operating Interest Income Expense,-311919000.0,-169041000.0,-179016000.0,-66283000.0
Total Other Finance Cost,98624000.0,40802000.0,27306000.0,53456000.0
Interest Expense Non Operating,311919000.0,172780000.0,201696000.0,156171000.0
Interest Income Non Operating,36683000.0,44541000.0,49986000.0,143344000.0
Operating Income,6920461000.0,4148151000.0,3444045000.0,3701941000.0
Operating Expense,8366978000.0,5202474000.0,4162506000.0,4420701000.0
Other Operating Expenses,5441259000.0,2345785000.0,1652046000.0,1806017000.0
Depreciation And Amortization In Income Statement,833405000.0,802072000.0,568547000.0,585084000.0
Amortization,,1874000.0,,
Depreciation Income Statement,833405000.0,800198000.0,568547000.0,585084000.0
Selling General And Administration,275684000.0,254450000.0,163758000.0,186161000.0
Selling And Marketing Expense,91635000.0,101236000.0,45595000.0,44407000.0
General And Administrative Expense,184049000.0,153214000.0,118163000.0,141754000.0
Rent And Landing Fees,30212000.0,24161000.0,23761000.0,25086000.0
Gross Profit,15287439000.0,9350625000.0,7606551000.0,8122642000.0
Cost Of Revenue,29456591000.0,21868483000.0,15374764000.0,17708753000.0
Total Revenue,44744030000.0,31219108000.0,22981315000.0,25831395000.0
Operating Revenue,44744030000.0,31219108000.0,22981315000.0,25831395000.0
