,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-20575779.471994,-8977558.979516,-4946713.788659
Tax Rate For Calcs,0.196485,0.192657,0.222768,0.292705
Total Unusual Items,,-106800000.0,-40300000.0,-16900000.0
Total Unusual Items Excluding Goodwill,,-106800000.0,-40300000.0,-16900000.0
Net Income From Continuing Operation Net Minority Interest,111669800000.0,100357000000.0,83782400000.0,49722700000.0
Reconciled Depreciation,242600000.0,182400000.0,108600000.0,117800000.0
Net Interest Income,151130100000.0,161745600000.0,132053900000.0,106879300000.0
Interest Expense,237333300000.0,220509600000.0,215110000000.0,190024900000.0
Interest Income,388463400000.0,382255200000.0,347163900000.0,296904200000.0
Normalized Income,111669800000.0,100443224220.528,83813722441.02048,49734653286.21134
Net Income From Continuing And Discontinued Operation,111669800000.0,100357000000.0,83782400000.0,49722700000.0
Diluted Average Shares,2641196783.0,2642364402.0,2633223999.0,2633223999.0
Basic Average Shares,2641196783.0,2642364402.0,2633223999.0,2633223999.0
Diluted EPS,42.28,37.98,31.815,18.885
Basic EPS,42.28,37.98,31.815,18.885
Diluted NI Availto Com Stockholders,111669800000.0,100357000000.0,83782400000.0,49722700000.0
Net Income Common Stockholders,111669800000.0,100357000000.0,83782400000.0,49722700000.0
Net Income,111669800000.0,100357000000.0,83782400000.0,49722700000.0
Net Income Including Noncontrolling Interests,111669800000.0,100357000000.0,83782400000.0,49722700000.0
Net Income Continuous Operations,111669800000.0,100357000000.0,83782400000.0,49722700000.0
Tax Provision,27306900000.0,23948300000.0,24013500000.0,20577100000.0
Pretax Income,138976700000.0,124305300000.0,107795900000.0,70299800000.0
Special Income Charges,,-106800000.0,-40300000.0,-16900000.0
Other Special Charges,,9700000.0,40300000.0,16900000.0
Write Off,,97100000.0,,
Gain On Sale Of Security,453100000.0,3465700000.0,264100000.0,250300000.0
Operating Expense,5626000000.0,4742200000.0,4261000000.0,5975300000.0
Other Operating Expenses,3342400000.0,2527700000.0,2158900000.0,3573100000.0
Depreciation And Amortization In Income Statement,242600000.0,182400000.0,108600000.0,117700000.0
Depreciation Income Statement,242600000.0,182400000.0,108600000.0,117700000.0
Selling General And Administration,,155000000.0,186600000.0,198600000.0
Selling And Marketing Expense,,23200000.0,58600000.0,60300000.0
General And Administrative Expense,,131800000.0,128000000.0,138300000.0
Insurance And Claims,,900000.0,1000000.0,1300000.0
Rent And Landing Fees,,73200000.0,168700000.0,151200000.0
Total Revenue,146024400000.0,163685400000.0,136577200000.0,85395500000.0
Operating Revenue,146024400000.0,163685400000.0,136577200000.0,85395500000.0
