,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-449520000.0,-3000000.0,1340956000.0
Tax Rate For Calcs,0.4,0.4,0.3,0.0274
Total Unusual Items,0.0,-1123800000.0,-10000000.0,48940000000.0
Total Unusual Items Excluding Goodwill,0.0,-1123800000.0,-10000000.0,48940000000.0
Net Income From Continuing Operation Net Minority Interest,-17785600000.0,-81156500000.0,-94040000000.0,-10750000000.0
Reconciled Depreciation,1159300000.0,1123600000.0,1050000000.0,1230000000.0
Net Interest Income,25548900000.0,4755300000.0,3350000000.0,12280000000.0
Interest Expense,2994200000.0,21898100000.0,27410000000.0,39690000000.0
Interest Income,28543100000.0,26653400000.0,30760000000.0,51970000000.0
Normalized Income,-17785600000.0,-80482220000.0,-94033000000.0,-58349044000.0
Net Income From Continuing And Discontinued Operation,-17785600000.0,-81156500000.0,-94040000000.0,-10750000000.0
Diluted Average Shares,,252981608.0,251108902.0,251108902.0
Basic Average Shares,,252981608.0,251108902.0,251108902.0
Diluted EPS,,-320.8,-369.82,-47.79
Basic EPS,,-320.8,-369.82,-47.79
Diluted NI Availto Com Stockholders,-17785600000.0,-80547400000.0,-92870000000.0,-10750000000.0
Net Income Common Stockholders,-17785600000.0,-80547400000.0,-92870000000.0,-10750000000.0
Otherunder Preferred Stock Dividend,,-609100000.0,-1170000000.0,
Net Income,-17785600000.0,-81156500000.0,-94040000000.0,-10750000000.0
Minority Interests,-191000000.0,-609100000.0,-1170000000.0,1240000000.0
Net Income Including Noncontrolling Interests,-17594100000.0,-80547400000.0,-92870000000.0,-11990000000.0
Net Income Continuous Operations,-17594100000.0,-80547400000.0,-92870000000.0,-11990000000.0
Tax Provision,1051400000.0,1469400000.0,1730000000.0,-240000000.0
Pretax Income,-16542700000.0,-79078000000.0,-91140000000.0,-12230000000.0
Special Income Charges,0.0,-1123800000.0,-10000000.0,48940000000.0
Other Special Charges,,200000.0,10000000.0,-48940000000.0
Write Off,,1123600000.0,1380000000.0,890000000.0
Gain On Sale Of Security,-3619300000.0,14053400000.0,22810000000.0,-18620000000.0
Operating Expense,183418200000.0,177406600000.0,175960000000.0,133900000000.0
Other Operating Expenses,24446400000.0,9572100000.0,13670000000.0,1910000000.0
Depreciation And Amortization In Income Statement,1159300000.0,1120000000.0,1050000000.0,1230000000.0
Depreciation Income Statement,1159300000.0,1120000000.0,1050000000.0,1230000000.0
Selling General And Administration,,12514000000.0,11110000000.0,9780000000.0
Selling And Marketing Expense,,11618000000.0,10110000000.0,7950000000.0
General And Administrative Expense,,896000000.0,1000000000.0,1830000000.0
Insurance And Claims,142137000000.0,140140000000.0,135690000000.0,104790000000.0
Rent And Landing Fees,,472600000.0,690000000.0,1100000000.0
Total Revenue,181972100000.0,164048900000.0,159210000000.0,116570000000.0
Operating Revenue,181972100000.0,164048900000.0,159210000000.0,116570000000.0
