,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,908657976.806531,-9182400.0,1351901.263435,-501917100.0
Tax Rate For Calcs,0.027624,0.4,0.039488,0.3
Total Unusual Items,32894107000.0,-22956000.0,34236000.0,-1673057000.0
Total Unusual Items Excluding Goodwill,32894107000.0,-22956000.0,34236000.0,-1673057000.0
Net Income From Continuing Operation Net Minority Interest,30816862000.0,-15438667000.0,-5084613000.0,-9324695000.0
Reconciled Depreciation,561455000.0,534016000.0,588414000.0,608435000.0
Net Interest Income,-1196296000.0,-2724685000.0,-1563067000.0,-1877960000.0
Interest Expense,6280667000.0,7379657000.0,7199170000.0,8447935000.0
Interest Income,5084371000.0,4654972000.0,5636103000.0,6569975000.0
Normalized Income,-1168587023.193469,-15424893400.0,-5117497098.736565,-8153555100.0
Net Income From Continuing And Discontinued Operation,30816862000.0,-15438667000.0,-5084613000.0,-9324695000.0
Diluted Average Shares,325518770.0,300770836.0,258748947.0,235764730.0
Basic Average Shares,320808474.0,300770836.0,258748947.0,235764730.0
Diluted EPS,94.67,-51.33,-19.69,-39.62
Basic EPS,96.06,-51.33,-19.65,-39.55
Diluted NI Availto Com Stockholders,30816862000.0,-15438901000.0,-5093991000.0,-9341009000.0
Average Dilution Earnings,,-234000.0,-9378000.0,-16314000.0
Net Income Common Stockholders,30816862000.0,-15438667000.0,-5084613000.0,-9324695000.0
Net Income,30816862000.0,-15438667000.0,-5084613000.0,-9324695000.0
Minority Interests,-869311000.0,-53523000.0,-306438000.0,1055061000.0
Net Income Including Noncontrolling Interests,31686173000.0,-15385144000.0,-4778175000.0,-10379756000.0
Net Income Continuous Operations,31686173000.0,-15385144000.0,-4778175000.0,-10379756000.0
Tax Provision,900156000.0,5074616000.0,-196436000.0,78599000.0
Pretax Income,32586329000.0,-10310528000.0,-4974611000.0,-10301157000.0
Special Income Charges,32894107000.0,-22956000.0,34236000.0,-1673057000.0
Other Special Charges,,-3265000.0,-3618000.0,1691587000.0
Write Off,,26221000.0,-30618000.0,-18530000.0
Gain On Sale Of Security,-3324000.0,154410000.0,49629000.0,89842000.0
Operating Expense,38250804000.0,29283615000.0,21128226000.0,19852389000.0
Other Operating Expenses,28399935000.0,76988000.0,2195802000.0,1822377000.0
Depreciation And Amortization In Income Statement,561455000.0,534016000.0,588414000.0,608435000.0
Amortization,,,,139430000.0
Depreciation Income Statement,561455000.0,534016000.0,588414000.0,469005000.0
Selling General And Administration,,3811428000.0,2779561000.0,2847933000.0
Selling And Marketing Expense,,3089541000.0,1279515000.0,1245210000.0
General And Administrative Expense,,721887000.0,1500046000.0,1602723000.0
Insurance And Claims,,16360629000.0,9553164000.0,8925885000.0
Rent And Landing Fees,,431795000.0,143179000.0,176195000.0
Total Revenue,37253738000.0,22794818000.0,16814198000.0,11802892000.0
Operating Revenue,37253738000.0,22794818000.0,16814198000.0,11802892000.0
