,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,21513295.033072,367190.919805,98463567.760193
Tax Rate For Calcs,0.4,0.047754,0.023388,0.118331
Normalized EBITDA,17403700000.0,15645500000.0,14351900000.0,11681800000.0
Total Unusual Items,0.0,450500000.0,15700000.0,832100000.0
Total Unusual Items Excluding Goodwill,0.0,450500000.0,15700000.0,832100000.0
Net Income From Continuing Operation Net Minority Interest,8701600000.0,8652200000.0,6960900000.0,3364800000.0
Reconciled Depreciation,7531600000.0,6354400000.0,6279400000.0,6712700000.0
Reconciled Cost Of Revenue,47109700000.0,40225400000.0,31010300000.0,37060600000.0
EBITDA,17403700000.0,16096000000.0,14367600000.0,12513900000.0
EBIT,9872100000.0,9741600000.0,8088200000.0,5801200000.0
Net Interest Income,-1841900000.0,39800000.0,-420600000.0,-1307800000.0
Interest Expense,1841900000.0,655500000.0,960600000.0,1984800000.0
Interest Income,467700000.0,725700000.0,656100000.0,811800000.0
Normalized Income,8701600000.0,8223213295.033072,6945567190.919805,2631163567.760193
Net Income From Continuing And Discontinued Operation,8701600000.0,8652200000.0,6960900000.0,3364800000.0
Total Expenses,49907200000.0,40536100000.0,31541600000.0,36709700000.0
Rent Expense Supplemental,1341000000.0,3521300000.0,2301000000.0,4230700000.0
Diluted Average Shares,465799010.0,465799010.0,465799010.0,465799010.0
Basic Average Shares,465799010.0,465799010.0,465799010.0,465799010.0
Diluted EPS,18.68,18.47,14.94,7.22
Basic EPS,18.68,18.47,14.94,7.22
Diluted NI Availto Com Stockholders,8701600000.0,8652200000.0,6960900000.0,3364800000.0
Net Income Common Stockholders,8701600000.0,8652200000.0,6960900000.0,3364800000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,8701600000.0,8652200000.0,6960900000.0,3364800000.0
Net Income Including Noncontrolling Interests,8701600000.0,8652200000.0,6960900000.0,3364800000.0
Net Income Continuous Operations,8701600000.0,8652200000.0,6960900000.0,3364800000.0
Tax Provision,-671400000.0,433900000.0,166700000.0,451600000.0
Pretax Income,8030200000.0,9086100000.0,7127600000.0,3816400000.0
Other Non Operating Income Expenses,1132000000.0,6600000.0,4900000.0,5300000.0
Special Income Charges,0.0,391200000.0,-27900000.0,808300000.0
Other Special Charges,-198300000.0,-396700000.0,9500000.0,-1110700000.0
Write Off,45400000.0,3100000.0,18400000.0,278200000.0
Impairment Of Capital Assets,0.0,,,24200000.0
Restructuring And Mergern Acquisition,,2400000.0,,
Net Non Operating Interest Income Expense,-1841900000.0,39800000.0,-420600000.0,-1307800000.0
Total Other Finance Cost,20500000.0,30400000.0,116100000.0,134800000.0
Interest Expense Non Operating,1841900000.0,655500000.0,960600000.0,1984800000.0
Interest Income Non Operating,467700000.0,725700000.0,656100000.0,811800000.0
Operating Income,8032300000.0,8780700000.0,5365600000.0,7092500000.0
Operating Expense,2797500000.0,310700000.0,531300000.0,-350900000.0
Other Operating Expenses,2797500000.0,617400000.0,580600000.0,-114000000.0
Selling General And Administration,54900000.0,53700000.0,44300000.0,49100000.0
Selling And Marketing Expense,5800000.0,4000000.0,3900000.0,6000000.0
General And Administrative Expense,49100000.0,49700000.0,40400000.0,43100000.0
Rent And Landing Fees,2900000.0,800000.0,2300000.0,700000.0
Gross Profit,10829800000.0,9091400000.0,5896900000.0,6741600000.0
Cost Of Revenue,47109700000.0,40225400000.0,31010300000.0,37060600000.0
Total Revenue,57939500000.0,49316800000.0,36907200000.0,43802200000.0
Operating Revenue,57939500000.0,49316800000.0,36907200000.0,43802200000.0
