,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-4374515.971071,2934739.710818,88787486.102852
Tax Rate For Calcs,0.283983,0.25582,0.248707,0.252812
Normalized EBITDA,8012800000.0,5918500000.0,4551900000.0,4182500000.0
Total Unusual Items,4100000.0,-17100000.0,11800000.0,351200000.0
Total Unusual Items Excluding Goodwill,4100000.0,-17100000.0,11800000.0,351200000.0
Net Income From Continuing Operation Net Minority Interest,5248800000.0,3949600000.0,2976900000.0,2889900000.0
Reconciled Depreciation,668400000.0,571000000.0,579500000.0,571200000.0
Reconciled Cost Of Revenue,25658200000.0,24177700000.0,16776300000.0,19034400000.0
EBITDA,8012800000.0,5901400000.0,4563700000.0,4533700000.0
EBIT,7344400000.0,5330400000.0,3984200000.0,3962500000.0
Net Interest Income,-15100000.0,163200000.0,301100000.0,480800000.0
Interest Expense,15100000.0,20800000.0,21300000.0,94800000.0
Interest Income,360100000.0,184000000.0,322400000.0,575600000.0
Normalized Income,5248800000.0,3962325484.028929,2968034739.710818,2627487486.102852
Net Income From Continuing And Discontinued Operation,5248800000.0,3949600000.0,2976900000.0,2889900000.0
Total Expenses,36223500000.0,31377200000.0,22900800000.0,25173900000.0
Rent Expense Supplemental,7500000.0,7300000.0,11300000.0,14400000.0
Diluted Average Shares,49437963.0,49437963.0,49437963.0,49437963.0
Basic Average Shares,49437963.0,49437963.0,49437963.0,49437963.0
Diluted EPS,106.2,79.9,60.2,58.5
Basic EPS,106.2,79.9,60.2,58.5
Diluted NI Availto Com Stockholders,5248800000.0,3949600000.0,2976900000.0,2889900000.0
Net Income Common Stockholders,5248800000.0,3949600000.0,2976900000.0,2889900000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,5248800000.0,3949600000.0,2976900000.0,2889900000.0
Net Income Including Noncontrolling Interests,5248800000.0,3949600000.0,2976900000.0,2889900000.0
Net Income Continuous Operations,5248800000.0,3949600000.0,2976900000.0,2889900000.0
Tax Provision,2081400000.0,1358300000.0,985600000.0,977800000.0
Pretax Income,7329300000.0,5309600000.0,3962900000.0,3867700000.0
Other Non Operating Income Expenses,518700000.0,157700000.0,28100000.0,112400000.0
Special Income Charges,4100000.0,-17100000.0,11800000.0,351200000.0
Other Special Charges,-5400000.0,-2300000.0,-11800000.0,-351200000.0
Write Off,1300000.0,19400000.0,,0.0
Net Non Operating Interest Income Expense,-15100000.0,163200000.0,301100000.0,480800000.0
Interest Expense Non Operating,15100000.0,20800000.0,21300000.0,94800000.0
Interest Income Non Operating,360100000.0,184000000.0,322400000.0,575600000.0
Operating Income,6825700000.0,5131300000.0,3707900000.0,3080700000.0
Operating Expense,10565300000.0,7199500000.0,6124500000.0,6139500000.0
Other Operating Expenses,6900600000.0,3269100000.0,2585900000.0,2566500000.0
Depreciation And Amortization In Income Statement,668400000.0,571000000.0,579500000.0,571200000.0
Amortization,2200000.0,1300000.0,1000000.0,1100000.0
Depreciation Income Statement,668400000.0,569700000.0,578500000.0,570100000.0
Selling General And Administration,402600000.0,639300000.0,579300000.0,747700000.0
Selling And Marketing Expense,228200000.0,62800000.0,32700000.0,97900000.0
General And Administrative Expense,174400000.0,576500000.0,546600000.0,649800000.0
Rent And Landing Fees,7500000.0,7300000.0,11300000.0,14400000.0
Gross Profit,17391000000.0,12330800000.0,9832400000.0,9220200000.0
Cost Of Revenue,25658200000.0,24177700000.0,16776300000.0,19034400000.0
Total Revenue,43049200000.0,36508500000.0,26608700000.0,28254600000.0
Operating Revenue,43049200000.0,36508500000.0,26608700000.0,28254600000.0
