,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-41154000000.0,-468160000.0,-558240000.0,-493461181.285724
Tax Rate For Calcs,0.4,0.4,0.3,0.373721
Total Unusual Items,-102885000000.0,-1170400000.0,-1860800000.0,-1320400000.0
Total Unusual Items Excluding Goodwill,-102885000000.0,-1170400000.0,-1860800000.0,-1320400000.0
Net Income From Continuing Operation Net Minority Interest,-111089400000.0,-25453100000.0,-73392000000.0,888400000.0
Reconciled Depreciation,4358200000.0,5699000000.0,7345600000.0,7850200000.0
Net Interest Income,12079400000.0,3806200000.0,-4649300000.0,874500000.0
Interest Expense,762400000.0,21691800000.0,33343800000.0,37894700000.0
Interest Income,12841800000.0,25498000000.0,28694500000.0,38769200000.0
Normalized Income,-49358400000.0,-24750860000.0,-72089440000.0,1715338818.714276
Net Income From Continuing And Discontinued Operation,-111089400000.0,-25453100000.0,-73392000000.0,888400000.0
Diluted Average Shares,,503224595.0,503086333.0,503086333.0
Basic Average Shares,,503224595.0,503086333.0,503086333.0
Diluted EPS,,-50.58,-145.87,1.7659
Basic EPS,,-50.58,-145.87,1.7659
Diluted NI Availto Com Stockholders,-111089400000.0,-25453100000.0,-73392000000.0,888400000.0
Net Income Common Stockholders,-111089400000.0,-25453100000.0,-73392000000.0,888400000.0
Net Income,-111089400000.0,-25453100000.0,-73392000000.0,888400000.0
Minority Interests,500000.0,-5600000.0,-8100000.0,900000.0
Net Income Including Noncontrolling Interests,-111089900000.0,-25447500000.0,-73383900000.0,887500000.0
Net Income Continuous Operations,-111089900000.0,-25447500000.0,-73383900000.0,887500000.0
Tax Provision,4100000.0,709500000.0,1595800000.0,529600000.0
Pretax Income,-111085800000.0,-24738000000.0,-71788100000.0,1417100000.0
Special Income Charges,-102885000000.0,-1170400000.0,-1860800000.0,-1320400000.0
Other Special Charges,101559300000.0,741300000.0,565700000.0,115000000.0
Write Off,1325700000.0,432000000.0,1245100000.0,1205400000.0
Impairment Of Capital Assets,,-2900000.0,50000000.0,
Gain On Sale Of Security,-1518300000.0,-3981300000.0,-5322400000.0,3257000000.0
Operating Expense,7148500000.0,8711200000.0,10431400000.0,12021100000.0
Other Operating Expenses,0.0,471000000.0,645200000.0,0.0
Depreciation And Amortization In Income Statement,4358200000.0,5699000000.0,7345600000.0,7850200000.0
Depreciation Income Statement,4358200000.0,5699000000.0,7345600000.0,7850200000.0
Selling General And Administration,1915800000.0,680100000.0,884200000.0,2209600000.0
Selling And Marketing Expense,,10100000.0,47000000.0,
General And Administrative Expense,1915800000.0,670000000.0,837200000.0,2209600000.0
Insurance And Claims,,24000000.0,18400000.0,
Rent And Landing Fees,,598500000.0,91700000.0,
Total Revenue,13169300000.0,5338800000.0,-5331100000.0,18776100000.0
Operating Revenue,13169300000.0,5338800000.0,-5331100000.0,18776100000.0
