,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,105580081.795947,-612944772.073507,-55665237.747741,-274468857.351865
Tax Rate For Calcs,0.193225,0.273195,0.114911,0.207078
Normalized EBITDA,1635530000.0,-494130000.0,6632080000.0,3959510000.0
Total Unusual Items,546410000.0,-2243620000.0,-484420000.0,-1230550000.0
Total Unusual Items Excluding Goodwill,546410000.0,-2243620000.0,-484420000.0,-1325440000.0
Net Income From Continuing Operation Net Minority Interest,-2212040000.0,-4602110000.0,2545010000.0,491520000.0
Reconciled Depreciation,2432520000.0,2330140000.0,2062870000.0,1877910000.0
Reconciled Cost Of Revenue,16268850000.0,15832840000.0,14087800000.0,11839820000.0
EBITDA,2181940000.0,-2737750000.0,6147660000.0,2728960000.0
EBIT,-250580000.0,-5067890000.0,4084790000.0,851050000.0
Net Interest Income,-2611420000.0,-682910000.0,-1234040000.0,-144750000.0
Interest Expense,2611420000.0,1457240000.0,1330400000.0,304250000.0
Interest Income,1313660000.0,1084530000.0,353010000.0,368870000.0
Normalized Income,-2652869918.204053,-2971434772.073507,2973764762.252259,1637381142.648135
Net Income From Continuing And Discontinued Operation,-2026350000.0,-4602110000.0,2684420000.0,363910000.0
Total Expenses,35014580000.0,32638070000.0,28298840000.0,22904100000.0
Rent Expense Supplemental,144020000.0,80890000.0,71960000.0,42800000.0
Diluted Average Shares,90085611.0,89786466.0,89709403.0,89582155.0
Basic Average Shares,90080778.0,89747525.0,89609605.0,89553029.0
Diluted EPS,-22.49,-51.28,29.92,4.06
Basic EPS,-22.49,-51.28,29.96,4.06
Diluted NI Availto Com Stockholders,-2026350000.0,-4602110000.0,2684420000.0,363910000.0
Net Income Common Stockholders,-2026350000.0,-4602110000.0,2684420000.0,363910000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-2026350000.0,-4602110000.0,2684420000.0,363910000.0
Minority Interests,96950000.0,140390000.0,107130000.0,57950000.0
Net Income Including Noncontrolling Interests,-2123300000.0,-4742500000.0,2577290000.0,305960000.0
Net Income Discontinuous Operations,185690000.0,0.0,139410000.0,-127610000.0
Net Income Continuous Operations,-2308990000.0,-4742500000.0,2437880000.0,433570000.0
Tax Provision,-553010000.0,-1782630000.0,316510000.0,113230000.0
Pretax Income,-2862000000.0,-6525130000.0,2754390000.0,546800000.0
Other Non Operating Income Expenses,903280000.0,131220000.0,118500000.0,117070000.0
Special Income Charges,546410000.0,-2772920000.0,-725430000.0,-1321660000.0
Other Special Charges,-1381540000.0,12540000.0,-23380000.0,53050000.0
Write Off,579220000.0,2295350000.0,750500000.0,1131120000.0
Impairment Of Capital Assets,,46760000.0,,
Restructuring And Mergern Acquisition,255910000.0,418270000.0,-1690000.0,42600000.0
Net Non Operating Interest Income Expense,-2611420000.0,-682910000.0,-1234040000.0,-144750000.0
Total Other Finance Cost,435510000.0,310200000.0,256650000.0,209370000.0
Interest Expense Non Operating,2611420000.0,1457240000.0,1330400000.0,304250000.0
Interest Income Non Operating,1313660000.0,1084530000.0,353010000.0,368870000.0
Operating Income,1869290000.0,-2417510000.0,4212710000.0,3663350000.0
Operating Expense,18745730000.0,16805230000.0,14211040000.0,11064280000.0
Other Operating Expenses,8992980000.0,3582000000.0,3838460000.0,4493530000.0
Depreciation And Amortization In Income Statement,2432520000.0,2330140000.0,2062870000.0,1737020000.0
Amortization,713200000.0,597310000.0,612720000.0,553970000.0
Depreciation Income Statement,2432520000.0,1732830000.0,1450150000.0,1183050000.0
Selling General And Administration,4113340000.0,4825050000.0,3383430000.0,1317610000.0
Selling And Marketing Expense,2636510000.0,3312970000.0,2232180000.0,166610000.0
General And Administrative Expense,1476830000.0,1512080000.0,1151250000.0,1151000000.0
Rent And Landing Fees,144020000.0,80890000.0,71960000.0,42800000.0
Gross Profit,20615020000.0,14387720000.0,18423750000.0,14727630000.0
Cost Of Revenue,16268850000.0,15832840000.0,14087800000.0,11839820000.0
Total Revenue,36883870000.0,30220560000.0,32511550000.0,26567450000.0
Operating Revenue,36883870000.0,30220560000.0,32511550000.0,26567450000.0
