,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-154457388.841709,-11635234250.176287,-7416035402.965667,-267308701.909737
Tax Rate For Calcs,0.090088,0.239996,0.183859,0.164245
Normalized EBITDA,122813110000.0,116005000000.0,90539500000.0,75156700000.0
Total Unusual Items,-1714510000.0,-48480900000.0,-40335400000.0,-1627500000.0
Total Unusual Items Excluding Goodwill,-1714510000.0,-48480900000.0,-40335400000.0,-1627500000.0
Net Income From Continuing Operation Net Minority Interest,84735800000.0,32727300000.0,29038200000.0,37649300000.0
Reconciled Depreciation,25294300000.0,21437400000.0,20799500000.0,20527800000.0
Reconciled Cost Of Revenue,106621600000.0,117076500000.0,98854200000.0,104712700000.0
EBITDA,121098600000.0,67524100000.0,50204100000.0,73529200000.0
EBIT,95804300000.0,46086700000.0,29404600000.0,53001400000.0
Net Interest Income,-1720000000.0,4260200000.0,700400000.0,640700000.0
Interest Expense,1720000000.0,1273500000.0,1410900000.0,2905500000.0
Interest Income,,5533700000.0,2111300000.0,3546200000.0
Normalized Income,86295852611.1583,69572965749.82372,61957564597.03433,39009491298.09026
Net Income From Continuing And Discontinued Operation,84735800000.0,32727300000.0,29038200000.0,37649300000.0
Total Expenses,340354100000.0,299492700000.0,267213400000.0,273897400000.0
Rent Expense Supplemental,,535400000.0,419800000.0,362400000.0
Diluted Average Shares,2400447592.0,2406419118.0,2399334970.0,2399334970.0
Basic Average Shares,2400447592.0,2406419118.0,2399334970.0,2399334970.0
Diluted EPS,35.3,13.6,12.1,15.7
Basic EPS,35.3,13.6,12.1,15.7
Diluted NI Availto Com Stockholders,84735800000.0,32727300000.0,29038200000.0,37649300000.0
Net Income Common Stockholders,84735800000.0,32727300000.0,29038200000.0,37649300000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,84735800000.0,32727300000.0,29038200000.0,37649300000.0
Minority Interests,-393600000.0,-1165500000.0,6314700000.0,-4070300000.0
Net Income Including Noncontrolling Interests,85129400000.0,33892800000.0,22723500000.0,41719600000.0
Net Income Continuous Operations,85129400000.0,33892800000.0,22723500000.0,41719600000.0
Tax Provision,8475900000.0,10755000000.0,5146900000.0,8228000000.0
Pretax Income,94084300000.0,44813200000.0,27993700000.0,50095900000.0
Other Non Operating Income Expenses,6345200000.0,569500000.0,656800000.0,1132300000.0
Special Income Charges,-1714510000.0,-45355200000.0,-42931200000.0,-2446500000.0
Other Special Charges,,45150600000.0,42775700000.0,2445000000.0
Impairment Of Capital Assets,,204600000.0,155500000.0,1500000.0
Net Non Operating Interest Income Expense,-1720000000.0,4260200000.0,700400000.0,640700000.0
Interest Expense Non Operating,1720000000.0,1273500000.0,1410900000.0,2905500000.0
Interest Income Non Operating,,5533700000.0,2111300000.0,3546200000.0
Operating Income,92434599999.99998,84771500000.0,64178400000.0,49354300000.0
Operating Expense,233732500000.0,182416200000.0,168359200000.0,169184700000.0
Other Operating Expenses,131546000000.0,38399000000.0,33438700000.0,36689800000.0
Depreciation And Amortization In Income Statement,25294300000.0,21437400000.0,20799500000.0,20527800000.0
Depreciation Income Statement,25294300000.0,21437400000.0,20799500000.0,20527800000.0
Selling General And Administration,,54685600000.0,48668500000.0,53104500000.0
Selling And Marketing Expense,,32817300000.0,24815900000.0,30822400000.0
General And Administrative Expense,,21868300000.0,23852600000.0,22282100000.0
Rent And Landing Fees,,535400000.0,419800000.0,362400000.0
Gross Profit,326167100000.0,267187700000.0,232537600000.0,218539000000.0
Cost Of Revenue,106621600000.0,117076500000.0,98854200000.0,104712700000.0
Total Revenue,432788700000.0,384264200000.0,331391800000.0,323251700000.0
Operating Revenue,432788700000.0,384264200000.0,331391800000.0,323251700000.0
