,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,52652276.750089,208784777.362419,277347591.461949
Tax Rate For Calcs,0.105109,0.159892,0.311945,0.175993
Normalized EBITDA,40380000000.0,26670500000.0,16126800000.0,20329100000.0
Total Unusual Items,0.0,329300000.0,669300000.0,1575900000.0
Total Unusual Items Excluding Goodwill,0.0,329300000.0,669300000.0,1575900000.0
Net Income From Continuing Operation Net Minority Interest,23350000000.0,12526400000.0,2563700000.0,8065900000.0
Reconciled Depreciation,8920000000.0,8061200000.0,7593200000.0,6664700000.0
Reconciled Cost Of Revenue,62710000000.0,30155700000.0,26795800000.0,23081700000.0
EBITDA,40380000000.0,26999800000.0,16796100000.0,21905000000.0
EBIT,31460000000.0,18938600000.0,9202900000.0,15240300000.0
Net Interest Income,-4060000000.0,-1875500000.0,-2930300000.0,-2809700000.0
Interest Expense,4060000000.0,2272300000.0,2863000000.0,2759700000.0
Interest Income,750000000.0,1152900000.0,747600000.0,605300000.0
Normalized Income,23350000000.0,12249752276.75009,2103184777.362419,6767347591.461949
Net Income From Continuing And Discontinued Operation,23170000000.0,12576200000.0,2563700000.0,70063300000.0
Total Expenses,138590000000.0,109804800000.0,93176300000.0,89405000000.0
Rent Expense Supplemental,500000000.0,434900000.0,519200000.0,589200000.0
Diluted Average Shares,254756278.0,254756278.0,254756278.0,254756278.0
Basic Average Shares,254756278.0,254756278.0,254756278.0,254756278.0
Diluted EPS,90.95,49.37,10.06,275.02
Basic EPS,90.95,49.37,10.06,275.02
Diluted NI Availto Com Stockholders,23170000000.0,12576200000.0,2563700000.0,70063300000.0
Net Income Common Stockholders,23170000000.0,12576200000.0,2563700000.0,70063300000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,23170000000.0,12576200000.0,2563700000.0,70063300000.0
Minority Interests,-1170000000.0,-1475100000.0,-1798500000.0,-2218200000.0
Net Income Including Noncontrolling Interests,24340000000.0,14051300000.0,4362200000.0,72281500000.0
Net Income Discontinuous Operations,-180000000.0,49800000.0,0.0,61997400000.0
Net Income Continuous Operations,24520000000.0,14001500000.0,4362200000.0,10284100000.0
Tax Provision,2880000000.0,2664800000.0,1977700000.0,2196500000.0
Pretax Income,27400000000.0,16666300000.0,6339900000.0,12480600000.0
Other Non Operating Income Expenses,2180000000.0,392600000.0,666500000.0,587700000.0
Special Income Charges,0.0,-247200000.0,59300000.0,288900000.0
Other Special Charges,190000000.0,72700000.0,-61000000.0,-358100000.0
Write Off,30000000.0,174500000.0,1700000.0,69200000.0
Restructuring And Mergern Acquisition,,110400000.0,,
Net Non Operating Interest Income Expense,-4060000000.0,-1875500000.0,-2930300000.0,-2809700000.0
Total Other Finance Cost,810000000.0,756100000.0,814900000.0,655300000.0
Interest Expense Non Operating,4060000000.0,2272300000.0,2863000000.0,2759700000.0
Interest Income Non Operating,750000000.0,1152900000.0,747600000.0,605300000.0
Operating Income,29300000000.0,15366400000.0,7711600000.0,13118700000.0
Operating Expense,75880000000.0,79649100000.0,66380500000.0,66323300000.0
Other Operating Expenses,50050000000.0,33813700000.0,26956600000.0,27412000000.0
Depreciation And Amortization In Income Statement,8920000000.0,8061200000.0,7593200000.0,6664700000.0
Amortization,1090000000.0,1040500000.0,1175000000.0,1059300000.0
Depreciation Income Statement,8920000000.0,7020700000.0,6418200000.0,5605400000.0
Selling General And Administration,5490000000.0,22869800000.0,18313400000.0,18836300000.0
Selling And Marketing Expense,4580000000.0,22046700000.0,17681700000.0,18382100000.0
General And Administrative Expense,910000000.0,823100000.0,631700000.0,454200000.0
Rent And Landing Fees,500000000.0,434900000.0,519200000.0,589200000.0
Gross Profit,105180000000.0,95015500000.0,74092100000.0,79442000000.0
Cost Of Revenue,62710000000.0,30155700000.0,26795800000.0,23081700000.0
Total Revenue,167890000000.0,125171200000.0,100887900000.0,102523700000.0
Operating Revenue,167890000000.0,125171200000.0,100887900000.0,102523700000.0
