,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0754,0.1279,0.0764,0.1059
Net Income From Continuing Operation Net Minority Interest,2518800000.0,2142449000.0,1539748000.0,905310000.0
Reconciled Depreciation,9500000.0,9081000.0,8349000.0,7472000.0
Net Interest Income,295100000.0,366552000.0,448362000.0,467363000.0
Interest Expense,82500000.0,914000.0,879000.0,2629000.0
Interest Income,377600000.0,367466000.0,449241000.0,469992000.0
Normalized Income,2518800000.0,2142449000.0,1539748000.0,905310000.0
Net Income From Continuing And Discontinued Operation,2518800000.0,2142449000.0,1539748000.0,905310000.0
Rent Expense Supplemental,25916000.0,2009000.0,2187000.0,1877000.0
Diluted Average Shares,50595296.0,50595296.0,50595296.0,50595296.0
Basic Average Shares,50595296.0,50595296.0,50595296.0,50595296.0
Diluted EPS,49.78,42.34,30.44,17.89
Basic EPS,49.78,42.34,30.44,17.89
Diluted NI Availto Com Stockholders,2518800000.0,2142449000.0,1539748000.0,905310000.0
Net Income Common Stockholders,2518800000.0,2142449000.0,1539748000.0,905310000.0
Net Income,2518800000.0,2142449000.0,1539748000.0,905310000.0
Minority Interests,1300000.0,-2217000.0,-6425000.0,4415000.0
Net Income Including Noncontrolling Interests,2517500000.0,2144666000.0,1546173000.0,900895000.0
Net Income Continuous Operations,2517500000.0,2144666000.0,1546173000.0,900895000.0
Tax Provision,205300000.0,314554000.0,127855000.0,106686000.0
Pretax Income,2722800000.0,2459220000.0,1674028000.0,1007581000.0
Gain On Sale Of Security,656981000.0,993956000.0,-20087000.0,
Operating Expense,328500000.0,258432000.0,204789000.0,202576000.0
Other Operating Expenses,,,,1202000.0
Depreciation And Amortization In Income Statement,9500000.0,9081000.0,8349000.0,7472000.0
Depreciation Income Statement,9500000.0,9081000.0,8349000.0,7472000.0
Selling General And Administration,179400000.0,118010000.0,88795000.0,84475000.0
General And Administrative Expense,179400000.0,118010000.0,88795000.0,84475000.0
Rent And Landing Fees,25916000.0,2009000.0,2187000.0,1877000.0
Total Revenue,3051300000.0,2717652000.0,1878817000.0,1210157000.0
Operating Revenue,3051300000.0,2717652000.0,1878817000.0,1210157000.0
