,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,95397222.9,-2754916.4,-4451744.0
Tax Rate For Calcs,0.200099,0.2989,0.2812,0.176
Normalized EBITDA,2107300000.0,3894703000.0,3916849000.0,2872727000.0
Total Unusual Items,0.0,319161000.0,-9797000.0,-25294000.0
Total Unusual Items Excluding Goodwill,0.0,319161000.0,-9797000.0,-25294000.0
Net Income From Continuing Operation Net Minority Interest,805500000.0,2380608000.0,2206197000.0,1667984000.0
Reconciled Depreciation,772900000.0,616877000.0,671274000.0,650553000.0
Reconciled Cost Of Revenue,22067900000.0,19140108000.0,11054712000.0,13479861000.0
EBITDA,2107300000.0,4213864000.0,3907052000.0,2847433000.0
EBIT,1334400000.0,3596987000.0,3235778000.0,2196880000.0
Net Interest Income,-327400000.0,-147913000.0,-188209000.0,-337150000.0
Interest Expense,327400000.0,203766000.0,169540000.0,174698000.0
Interest Income,57105000.0,107087000.0,59622000.0,9404000.0
Normalized Income,805500000.0,2156844222.9,2213239083.6,1688826256.0
Net Income From Continuing And Discontinued Operation,805500000.0,2374486000.0,2198106000.0,1659572000.0
Total Expenses,31397700000.0,24196154000.0,15849686000.0,18119471000.0
Rent Expense Supplemental,22713000.0,32378000.0,31690000.0,23317000.0
Diluted Average Shares,31578000.0,31578000.0,31578000.0,31578000.0
Basic Average Shares,31578000.0,31578000.0,29884000.0,28085000.0
Diluted EPS,25.51,75.2,69.61,52.55
Basic EPS,25.51,75.2,73.55,59.09
Diluted NI Availto Com Stockholders,805500000.0,2374486000.0,2198106000.0,1659572000.0
Net Income Common Stockholders,805500000.0,2374486000.0,2198106000.0,1659572000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,805500000.0,2374486000.0,2198106000.0,1659572000.0
Net Income Including Noncontrolling Interests,805500000.0,2374486000.0,2198106000.0,1659572000.0
Net Income Discontinuous Operations,0.0,-6122000.0,-8091000.0,-8412000.0
Net Income Continuous Operations,805500000.0,2380608000.0,2206197000.0,1667984000.0
Tax Provision,201500000.0,1012613000.0,860041000.0,354198000.0
Pretax Income,1007000000.0,3393221000.0,3066238000.0,2022182000.0
Other Non Operating Income Expenses,136400000.0,28562000.0,6387000.0,30629000.0
Special Income Charges,0.0,323851000.0,182000.0,53000.0
Other Special Charges,-940000.0,-323851000.0,-182000.0,-53000.0
Net Non Operating Interest Income Expense,-327400000.0,-147913000.0,-188209000.0,-337150000.0
Total Other Finance Cost,123742000.0,51234000.0,78291000.0,171856000.0
Interest Expense Non Operating,327400000.0,203766000.0,169540000.0,174698000.0
Interest Income Non Operating,57105000.0,107087000.0,59622000.0,9404000.0
Operating Income,1198000000.0,3153804000.0,3262328000.0,2343074000.0
Operating Expense,9329800000.0,5056046000.0,4794974000.0,4639610000.0
Other Operating Expenses,6921700000.0,1176578000.0,1261863000.0,1248200000.0
Depreciation And Amortization In Income Statement,772900000.0,616877000.0,671274000.0,650553000.0
Amortization,7246000.0,7392000.0,8192000.0,5580000.0
Depreciation Income Statement,772900000.0,609485000.0,663082000.0,644973000.0
Selling General And Administration,2592665000.0,1887342000.0,1609896000.0,1607755000.0
Selling And Marketing Expense,2264947000.0,1707135000.0,1395796000.0,1382205000.0
General And Administrative Expense,327718000.0,180207000.0,214100000.0,225550000.0
Rent And Landing Fees,22713000.0,32378000.0,31690000.0,23317000.0
Gross Profit,10527800000.0,8209850000.0,8057302000.0,6982684000.0
Cost Of Revenue,22067900000.0,19140108000.0,11054712000.0,13479861000.0
Total Revenue,32595700000.0,27349958000.0,19112014000.0,20462545000.0
Operating Revenue,32595700000.0,27349958000.0,19112014000.0,20462545000.0
