,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,19338221.778222,-338025613.948549,640742367.91433
Tax Rate For Calcs,0.301875,0.126394,0.252616,0.270881
Normalized EBITDA,132699100000.0,97017900000.0,86562500000.0,90861800000.0
Total Unusual Items,0.0,153000000.0,-1338100000.0,2365400000.0
Total Unusual Items Excluding Goodwill,0.0,153000000.0,-1338100000.0,2365400000.0
Net Income From Continuing Operation Net Minority Interest,33364400000.0,22092900000.0,11735800000.0,14276100000.0
Reconciled Depreciation,34412600000.0,31236400000.0,27460600000.0,26335600000.0
Reconciled Cost Of Revenue,380031900000.0,299535700000.0,221053000000.0,186784800000.0
EBITDA,132699100000.0,97170900000.0,85224400000.0,93227200000.0
EBIT,98286500000.0,65934500000.0,57763800000.0,66891600000.0
Net Interest Income,-43716500000.0,-35717400000.0,-38281500000.0,-43550300000.0
Interest Expense,43716500000.0,35904500000.0,37896500000.0,43210000000.0
Interest Income,5136500000.0,2925000000.0,1539000000.0,1380400000.0
Normalized Income,33364400000.0,21959238221.77822,12735874386.05145,12551442367.91433
Net Income From Continuing And Discontinued Operation,33364400000.0,17414600000.0,11273800000.0,10173800000.0
Total Expenses,508419600000.0,374586400000.0,277393200000.0,233405100000.0
Rent Expense Supplemental,1585600000.0,1140700000.0,569900000.0,255700000.0
Diluted Average Shares,3198171607.0,3198171607.0,3018073391.0,2707605570.0
Basic Average Shares,3198171607.0,3198171607.0,3018073391.0,2707605570.0
Diluted EPS,10.43,5.36,3.17,3.12
Basic EPS,10.43,5.36,3.17,3.12
Diluted NI Availto Com Stockholders,33364400000.0,17119400000.0,9563800000.0,8463800000.0
Net Income Common Stockholders,33364400000.0,17119400000.0,9563800000.0,8463800000.0
Otherunder Preferred Stock Dividend,0.0,295200000.0,1710000000.0,1710000000.0
Preferred Stock Dividends,,0.0,0.0,0.0
Net Income,33364400000.0,17414600000.0,11273800000.0,10173800000.0
Minority Interests,-4732300000.0,-4141500000.0,-3112700000.0,-2990600000.0
Net Income Including Noncontrolling Interests,38096700000.0,21556100000.0,14386500000.0,13164400000.0
Net Income Discontinuous Operations,0.0,-4678300000.0,-462000000.0,-4102300000.0
Net Income Continuous Operations,38096700000.0,26234400000.0,14848500000.0,17266700000.0
Tax Provision,16473300000.0,3795600000.0,5018800000.0,6414900000.0
Pretax Income,54570000000.0,30030000000.0,19867300000.0,23681600000.0
Other Non Operating Income Expenses,23620700000.0,3836600000.0,9433100000.0,3497500000.0
Special Income Charges,0.0,-2033000000.0,-1754600000.0,1803500000.0
Other Special Charges,2228200000.0,410900000.0,1033200000.0,310300000.0
Write Off,0.0,1622100000.0,721400000.0,-2113800000.0
Net Non Operating Interest Income Expense,-43716500000.0,-35717400000.0,-38281500000.0,-43550300000.0
Total Other Finance Cost,3277800000.0,2737900000.0,1924000000.0,1720700000.0
Interest Expense Non Operating,43716500000.0,35904500000.0,37896500000.0,43210000000.0
Interest Income Non Operating,5136500000.0,2925000000.0,1539000000.0,1380400000.0
Operating Income,42671200000.0,43880300000.0,42180900000.0,52120800000.0
Operating Expense,128387700000.0,75050700000.0,56340200000.0,46620300000.0
Other Operating Expenses,57753100000.0,11222700000.0,8587200000.0,7044700000.0
Depreciation And Amortization In Income Statement,34392000000.0,31222000000.0,27449400000.0,26335600000.0
Amortization,1350100000.0,1214000000.0,1137200000.0,1237600000.0
Depreciation Income Statement,34392000000.0,30008000000.0,26312200000.0,25098000000.0
Selling General And Administration,4028600000.0,3239300000.0,2248200000.0,2042000000.0
Selling And Marketing Expense,13300000.0,32500000.0,30700000.0,31100000.0
General And Administrative Expense,4015300000.0,3206800000.0,2217500000.0,2010900000.0
Rent And Landing Fees,1585600000.0,1140700000.0,569900000.0,255700000.0
Gross Profit,171058900000.0,118931000000.0,98521100000.0,98741100000.0
Cost Of Revenue,380031900000.0,299535700000.0,221053000000.0,186784800000.0
Total Revenue,551090800000.0,418466700000.0,319574100000.0,285525900000.0
Operating Revenue,551090800000.0,418466700000.0,319574100000.0,285525900000.0
