,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,453040000.0,375715753.340791,-1793880000.0,-10843740000.0
Tax Rate For Calcs,0.4,0.168785,0.3,0.3
Normalized EBITDA,337557600000.0,645673400000.0,312820000000.0,196239900000.0
Total Unusual Items,1132600000.0,2226000000.0,-5979600000.0,-36145800000.0
Total Unusual Items Excluding Goodwill,1132600000.0,2226000000.0,-5979600000.0,-36145800000.0
Net Income From Continuing Operation Net Minority Interest,87604000000.0,401539300000.0,74902200000.0,27207700000.0
Reconciled Depreciation,93352000000.0,91008700000.0,92336400000.0,87076700000.0
Reconciled Cost Of Revenue,1132383000000.0,1087490000000.0,712921300000.0,709243100000.0
EBITDA,338690200000.0,647899400000.0,306840400000.0,160094100000.0
EBIT,245338200000.0,556890700000.0,214504000000.0,73017400000.0
Net Interest Income,-62987000000.0,-52184300000.0,-73262800000.0,-61143700000.0
Interest Expense,62987000000.0,54622000000.0,76067100000.0,75334600000.0
Interest Income,3456400000.0,2437700000.0,2804300000.0,14190900000.0
Normalized Income,86924440000.0,399689015753.3408,79087920000.0,52509760000.0
Net Income From Continuing And Discontinued Operation,87604000000.0,401539300000.0,74902200000.0,15565400000.0
Total Expenses,2186712900000.0,1911284000000.0,1367892500000.0,1323988100000.0
Rent Expense Supplemental,29234300000.0,26722600000.0,22484900000.0,23247900000.0
Diluted Average Shares,12225498182.0,12220286610.0,11460109170.0,11448377630.0
Basic Average Shares,12221782062.0,12210855870.0,11459027360.0,11447482270.0
Diluted EPS,7.17,33.21,6.378,1.186
Basic EPS,7.17,33.24,6.378,1.186
Diluted NI Availto Com Stockholders,87604000000.0,401528400000.0,73088700000.0,13573600000.0
Net Income Common Stockholders,87604000000.0,401528400000.0,73088700000.0,13573600000.0
Otherunder Preferred Stock Dividend,0.0,10900000.0,1813500000.0,1991800000.0
Preferred Stock Dividends,0.0,0.0,0.0,0.0
Net Income,87604000000.0,401539300000.0,74902200000.0,15565400000.0
Minority Interests,6850500000.0,-15953900000.0,-6995700000.0,3840800000.0
Net Income Including Noncontrolling Interests,80753500000.0,417493200000.0,81897900000.0,11724600000.0
Net Income Discontinuous Operations,,,,-11642300000.0
Net Income Continuous Operations,80753500000.0,417493200000.0,81897900000.0,23366900000.0
Tax Provision,101597700000.0,84775500000.0,56539000000.0,-25684100000.0
Pretax Income,182351200000.0,502268700000.0,138436900000.0,-2317200000.0
Other Non Operating Income Expenses,10374800000.0,30644800000.0,18936300000.0,25615800000.0
Special Income Charges,822700000.0,-884700000.0,-8453900000.0,-35061900000.0
Other Special Charges,-668600000.0,-8510000000.0,-1638400000.0,109300000.0
Write Off,-836800000.0,997400000.0,-702300000.0,409500000.0
Impairment Of Capital Assets,-253700000.0,2526800000.0,7234100000.0,31971400000.0
Restructuring And Mergern Acquisition,936400000.0,5870500000.0,3560500000.0,2571700000.0
Net Non Operating Interest Income Expense,-62987000000.0,-52184300000.0,-73262800000.0,-61143700000.0
Interest Expense Non Operating,62987000000.0,54622000000.0,76067100000.0,75334600000.0
Interest Income Non Operating,3456400000.0,2437700000.0,2804300000.0,14190900000.0
Operating Income,229649600000.0,528307700000.0,195049300000.0,74178400000.0
Operating Expense,1054329900000.0,823794000000.0,654971200000.0,614745000000.0
Other Operating Expenses,753949100000.0,347229000000.0,247490300000.0,228944700000.0
Depreciation And Amortization In Income Statement,93352000000.0,91008700000.0,92336400000.0,84407300000.0
Depreciation Income Statement,93352000000.0,91008700000.0,92336400000.0,84407300000.0
Selling General And Administration,133444300000.0,126192700000.0,93571500000.0,92809300000.0
Selling And Marketing Expense,126479600000.0,121386100000.0,88476900000.0,89290900000.0
General And Administrative Expense,6964700000.0,4806600000.0,5094600000.0,3518400000.0
Rent And Landing Fees,29234300000.0,26722600000.0,22484900000.0,23247900000.0
Gross Profit,1283979500000.0,1352101700000.0,850020500000.0,688923400000.0
Cost Of Revenue,1132383000000.0,1087490000000.0,712921300000.0,709243100000.0
Total Revenue,2416362500000.0,2439591700000.0,1562941800000.0,1398166500000.0
Operating Revenue,2416362500000.0,2439591700000.0,1562941800000.0,1398166500000.0
