,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-1568563.01935,-61095371.513782,-6231697.757249,-40088337.998403
Tax Rate For Calcs,0.092268,0.266211,0.069706,0.026337
Normalized EBITDA,-4331200000.0,13101600000.0,11837000000.0,2235427000.0
Total Unusual Items,-17000000.0,-229500000.0,-89400000.0,-1522137000.0
Total Unusual Items Excluding Goodwill,-17000000.0,-229500000.0,-89400000.0,-1522137000.0
Net Income From Continuing Operation Net Minority Interest,-22484700000.0,6298700000.0,5720100000.0,-5162320000.0
Reconciled Depreciation,7157700000.0,3195800000.0,3271900000.0,3107938000.0
Reconciled Cost Of Revenue,64638300000.0,42646900000.0,25397300000.0,23941761000.0
EBITDA,-4348200000.0,12872100000.0,11747600000.0,713290000.0
EBIT,-11505900000.0,9676300000.0,8475700000.0,-2394648000.0
Net Interest Income,-13874400000.0,-963200000.0,-2161300000.0,-2473141000.0
Interest Expense,13874400000.0,1092500000.0,2327000000.0,2907309000.0
Interest Income,391500000.0,136400000.0,185000000.0,455306000.0
Normalized Income,-22469268563.01935,6467104628.486218,5803268302.242751,-3680271337.998403
Net Income From Continuing And Discontinued Operation,-22484700000.0,6298700000.0,5720100000.0,-5162320000.0
Total Expenses,104448000000.0,56830100000.0,38047000000.0,35606144000.0
Rent Expense Supplemental,69100000.0,54800000.0,51400000.0,39207000.0
Diluted Average Shares,45100000.0,45100000.0,45100000.0,36148129.0
Basic Average Shares,45100000.0,45100000.0,45100000.0,36148129.0
Diluted EPS,-498.55,139.66,126.82,-142.81
Basic EPS,-498.55,139.66,126.82,-142.81
Diluted NI Availto Com Stockholders,-22484700000.0,6298700000.0,5720100000.0,-5162320000.0
Net Income Common Stockholders,-22484700000.0,6298700000.0,5720100000.0,-5162320000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-22484700000.0,6298700000.0,5720100000.0,-5162320000.0
Minority Interests,553800000.0,,,
Net Income Including Noncontrolling Interests,-23038500000.0,6298700000.0,5720100000.0,-5162320000.0
Net Income Continuous Operations,-23038500000.0,6298700000.0,5720100000.0,-5162320000.0
Tax Provision,-2341800000.0,2285100000.0,428600000.0,-139637000.0
Pretax Income,-25380300000.0,8583800000.0,6148700000.0,-5301957000.0
Other Non Operating Income Expenses,3041300000.0,1068900000.0,403500000.0,125890000.0
Special Income Charges,-17000000.0,-391200000.0,-95900000.0,-1632023000.0
Other Special Charges,18200000.0,119800000.0,95900000.0,1357838000.0
Restructuring And Mergern Acquisition,17000000.0,271400000.0,0.0,274185000.0
Net Non Operating Interest Income Expense,-13874400000.0,-963200000.0,-2161300000.0,-2473141000.0
Total Other Finance Cost,40200000.0,7100000.0,19300000.0,21138000.0
Interest Expense Non Operating,13874400000.0,1092500000.0,2327000000.0,2907309000.0
Interest Income Non Operating,391500000.0,136400000.0,185000000.0,455306000.0
Operating Income,-14530200000.0,8814900000.0,7999500000.0,-1329437000.0
Operating Expense,39809700000.0,14183200000.0,12649700000.0,11664383000.0
Other Operating Expenses,28746000000.0,6574400000.0,4398200000.0,4113230000.0
Depreciation And Amortization In Income Statement,7157700000.0,3195800000.0,3271900000.0,3107938000.0
Amortization,1691100000.0,260600000.0,246600000.0,178613000.0
Depreciation Income Statement,7157700000.0,2935200000.0,3025300000.0,2929325000.0
Selling General And Administration,6024100000.0,4565200000.0,4232300000.0,3106123000.0
Selling And Marketing Expense,4651700000.0,3631600000.0,3393900000.0,2442924000.0
General And Administrative Expense,1372400000.0,933600000.0,838400000.0,663199000.0
Rent And Landing Fees,69100000.0,54800000.0,51400000.0,39207000.0
Gross Profit,25279500000.0,22998100000.0,20649200000.0,10334946000.0
Cost Of Revenue,64638300000.0,42646900000.0,25397300000.0,23941761000.0
Total Revenue,89917800000.0,65645000000.0,46046500000.0,34276707000.0
Operating Revenue,89917800000.0,65645000000.0,46046500000.0,34276707000.0
