stock,sharpes_ratio
BAJFINANCE,22.783808982485407
BAJAJFINSV,20.06759305452037
PGHL,20.00511938701802
IGL,19.23049358966377
UNOMINDA,18.832771081798274
OLECTRA,18.12756418432204
TATAMETALI,17.708138284924377
BATAINDIA,17.610719752701335
HDFCBANK,17.336202030060306
DHANI,17.048600618937346
BHARATRAS,16.36315844087536
RELIANCE,16.32971397065721
HONAUT,16.180517096106204
HEG,15.748484326616008
CUB,15.594512868616135
AARTIIND,15.418393235644922
PCBL,14.925372264248542
HINDUNILVR,14.803539061596208
BIOCON,14.51329590203062
KEI,14.30094312034446
GRAPHITE,14.26780340750306
PIDILITIND,14.140859292320306
SUNDRMFAST,13.987824654539663
MAHSCOOTER,13.725059998106452
ESCORTS,13.66856226283056
BALKRISIND,13.498626352977453
BERGEPAINT,13.467073685205973
COROMANDEL,13.39293926347503
SUDARSCHEM,13.35259461762433
HSCL,13.30208228513219
PGHH,13.11541862028753
KOTAKBANK,12.981336597172016
GARFIBRES,12.799133856891658
ALKYLAMINE,12.790490703745393
JSWSTEEL,12.768576520459652
NAUKRI,12.548950362954425
COFORGE,12.453347135371697
ATUL,12.44867708068916
SRF,12.362435026144164
WSTCSTPAPR,12.058355068365367
